,index,Filename,Date,JDate,Julian,TTR,WordCount,UniqueWords,MLU,",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,'',POS,``,PDT,WP$,$,FW,SYM,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised
0,0,Bush - Speech1 - Edited.txt,27/01/1989,1989-01-27,2447553.5,0.2277812961790163,4737.0,1079.0,18.33910034602076,263.0,289.0,79.0,212.0,37.0,486.0,30.0,551.0,243.0,13.0,4.0,89.0,517.0,193.0,3.0,180.0,496.0,47.0,307.0,5.0,1.0,20.0,151.0,16.0,270.0,60.0,104.0,80.0,289.0,163.0,24.0,23.0,31.0,3.0,9.0,3.0,5.0,0.0,2.0,2.0,0.0,893.0,8.93,0.1885159383576103,260.0,2.6,0.05488705932024488,313.0,3.13,0.06607557525860248,966.0,9.66,0.2039265357821406
1,1,Bush - Speech2 - Edited.txt,06/02/1989,1989-02-06,2447563.5,0.2798232695139912,2037.0,570.0,19.87719298245614,112.0,114.0,18.0,92.0,10.0,223.0,12.0,217.0,97.0,3.0,6.0,58.0,196.0,69.0,2.0,76.0,177.0,17.0,162.0,3.0,1.0,11.0,97.0,3.0,160.0,39.0,35.0,57.0,109.0,49.0,6.0,19.0,12.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,343.0,3.43,0.16838487972508592,106.0,1.06,0.052037309769268535,166.0,1.66,0.08149239077074129,449.0,4.49,0.22042218949435444
2,2,Bush - Speech3 - Edited.txt,21/02/1989,1989-02-21,2447578.5,0.2817204301075269,2325.0,655.0,17.841379310344827,114.0,145.0,34.0,116.0,9.0,241.0,12.0,242.0,110.0,7.0,2.0,50.0,227.0,123.0,6.0,75.0,230.0,18.0,152.0,1.0,1.0,17.0,91.0,3.0,150.0,48.0,44.0,54.0,144.0,66.0,17.0,21.0,10.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,431.0,4.31,0.1853763440860215,119.0,1.19,0.051182795698924734,154.0,1.54,0.06623655913978495,506.0,5.06,0.21763440860215053
3,3,Bush - Speech4 - Edited.txt,24/02/1989,1989-02-24,2447581.5,0.31016042780748665,1309.0,406.0,18.1875,66.0,80.0,17.0,66.0,6.0,119.0,4.0,115.0,58.0,5.0,1.0,34.0,120.0,55.0,7.0,25.0,153.0,16.0,92.0,0.0,0.0,7.0,51.0,2.0,87.0,19.0,33.0,28.0,93.0,45.0,11.0,17.0,11.0,2.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,207.0,2.07,0.15813598166539344,64.0,0.64,0.04889228418640183,92.0,0.92,0.07028265851795264,305.0,3.05,0.23300229182582124
4,4,Bush - Speech5 - Edited.txt,25/02/1989,1989-02-25,2447582.5,0.23889063977308544,3173.0,758.0,18.892473118279568,154.0,186.0,28.0,171.0,10.0,354.0,25.0,353.0,164.0,5.0,2.0,68.0,336.0,102.0,13.0,104.0,318.0,39.0,243.0,6.0,1.0,16.0,97.0,1.0,177.0,55.0,54.0,69.0,193.0,97.0,27.0,19.0,15.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,555.0,5.55,0.1749133312322723,171.0,1.71,0.05389221556886228,250.0,2.5,0.0787897888433659,645.0,6.45,0.20327765521588403
5,5,Bush - Speech6 - Edited.txt,07/03/1989,1989-03-07,2447592.5,0.2411402157164869,3894.0,939.0,18.50423728813559,235.0,236.0,78.0,168.0,30.0,391.0,22.0,403.0,191.0,12.0,6.0,84.0,382.0,145.0,8.0,141.0,416.0,52.0,291.0,3.0,1.0,37.0,112.0,3.0,199.0,76.0,88.0,92.0,218.0,132.0,31.0,27.0,26.0,8.0,11.0,8.0,3.0,1.0,0.0,0.0,0.0,676.0,6.76,0.17360041088854647,209.0,2.09,0.05367231638418079,295.0,2.95,0.07575757575757576,805.0,8.05,0.20672829994863892
6,6,Bush - Speech7 - Edited.txt,10/03/1989,1989-03-10,2447595.5,0.2845714285714286,1750.0,498.0,17.025862068965516,109.0,116.0,29.0,106.0,10.0,145.0,8.0,160.0,78.0,1.0,3.0,49.0,134.0,76.0,2.0,42.0,223.0,14.0,151.0,0.0,1.0,14.0,62.0,6.0,118.0,66.0,24.0,44.0,96.0,52.0,9.0,14.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,2.54,0.14514285714285713,82.0,0.82,0.046857142857142854,152.0,1.52,0.08685714285714285,400.0,4.0,0.22857142857142856
7,7,Bush - Speech9 - Edited.txt,07/04/1989,1989-04-07,2447623.5,0.3483309143686502,1378.0,480.0,20.13157894736842,73.0,76.0,19.0,71.0,3.0,128.0,4.0,168.0,77.0,2.0,1.0,32.0,138.0,57.0,9.0,54.0,125.0,11.0,80.0,1.0,1.0,11.0,63.0,4.0,101.0,23.0,26.0,28.0,73.0,39.0,10.0,10.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,2.58,0.18722786647314948,80.0,0.8,0.05805515239477504,82.0,0.82,0.059506531204644414,290.0,2.9,0.2104499274310595
8,8,Bush - Speech10 - Edited.txt,21/05/1989,1989-05-21,2447667.5,0.3506969919295672,1363.0,478.0,19.688311688311693,73.0,77.0,17.0,71.0,4.0,127.0,4.0,165.0,76.0,2.0,0.0,31.0,135.0,57.0,9.0,54.0,122.0,10.0,81.0,1.0,2.0,11.0,63.0,4.0,101.0,23.0,26.0,27.0,72.0,39.0,10.0,10.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,2.55,0.18708730741012472,78.0,0.78,0.05722670579603815,84.0,0.84,0.061628760088041086,288.0,2.88,0.21129860601614087
9,9,Bush - Speech11 - Edited.txt,30/05/1989,1989-05-30,2447676.5,0.2883959044368601,2344.0,676.0,19.664179104477608,154.0,134.0,36.0,119.0,17.0,212.0,13.0,239.0,144.0,5.0,1.0,67.0,219.0,76.0,9.0,79.0,249.0,28.0,184.0,4.0,0.0,9.0,87.0,6.0,159.0,64.0,33.0,62.0,115.0,59.0,15.0,17.0,12.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,383.0,3.83,0.16339590443686006,150.0,1.5,0.06399317406143344,188.0,1.88,0.08020477815699659,492.0,4.92,0.2098976109215017
