,index,Filename,Date,JDate,Julian,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,'',``,$,FW,PDT,WP$,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised
0,0,Trump - Speech1 - Edited.txt,27/01/2017,2017-01-27,2457780.5,0.281437125748503,1503.0,423.0,17.1,6.0,8.0,70.0,107.0,100.0,0.0,81.0,4.0,128.0,1.0,150.0,85.0,0.0,1.0,39.0,121.0,75.0,3.0,55.0,3.0,197.0,19.0,119.0,2.0,0.0,8.0,39.0,0.0,86.0,44.0,51.0,20.0,103.0,33.0,7.0,12.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,254.0,2.54,0.16899534264803726,86.0,0.86,0.057218895542248835,121.0,1.21,0.08050565535595476,337.0,3.37,0.22421823020625417
1,1,Trump - Speech2 - Edited.txt,10/02/2017,2017-02-10,2457794.5,0.3190862196020633,1357.0,433.0,15.6734693877551,10.0,1.0,62.0,79.0,98.0,3.0,62.0,1.0,106.0,1.0,134.0,93.0,4.0,3.0,48.0,146.0,89.0,5.0,42.0,1.0,139.0,25.0,115.0,1.0,0.0,2.0,44.0,1.0,86.0,27.0,43.0,17.0,72.0,24.0,9.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,282.0,2.82,0.20781134856300662,100.0,1.0,0.07369196757553427,116.0,1.16,0.08548268238761975,269.0,2.69,0.1982313927781872
2,2,Trump - Speech3 - Edited.txt,13/02/2017,2017-02-13,2457797.5,0.3623503808487487,919.0,333.0,15.537313432835822,8.0,1.0,40.0,55.0,67.0,2.0,40.0,1.0,75.0,1.0,93.0,65.0,3.0,0.0,16.0,81.0,44.0,6.0,51.0,0.0,103.0,12.0,84.0,4.0,0.0,3.0,30.0,0.0,49.0,15.0,32.0,8.0,60.0,21.0,8.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,182.0,1.82,0.19804134929270947,68.0,0.68,0.07399347116430903,88.0,0.88,0.0957562568008705,185.0,1.85,0.20130576713819368
3,3,Trump - Speech4 - Edited.txt,15/02/2017,2017-02-15,2457799.5,0.32367632367632365,1001.0,324.0,13.841463414634148,5.0,7.0,38.0,52.0,82.0,2.0,43.0,11.0,87.0,4.0,87.0,67.0,6.0,2.0,24.0,86.0,39.0,5.0,24.0,1.0,124.0,3.0,85.0,0.0,0.0,4.0,46.0,0.0,72.0,15.0,25.0,23.0,76.0,27.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,1.54,0.15384615384615385,75.0,0.75,0.07492507492507493,85.0,0.85,0.08491508491508491,238.0,2.38,0.23776223776223776
4,4,Trump - Speech5 - Edited.txt,16/02/2017,2017-02-16,2457800.5,0.15165165165165165,8658.0,1313.0,12.522167487684731,45.0,48.0,409.0,687.0,812.0,22.0,321.0,46.0,765.0,10.0,736.0,523.0,27.0,18.0,146.0,818.0,422.0,9.0,241.0,15.0,1203.0,62.0,729.0,8.0,3.0,46.0,224.0,36.0,470.0,410.0,204.0,148.0,546.0,265.0,52.0,56.0,52.0,15.0,13.0,0.0,1.0,7.0,0.0,1490.0,14.9,0.17209517209517208,568.0,5.68,0.0656040656040656,740.0,7.4,0.08547008547008547,2043.0,20.43,0.23596673596673598
5,5,Trump - Speech6 - Edited.txt,17/03/2017,2017-03-17,2457829.5,0.3118022328548644,1254.0,391.0,14.098039215686276,8.0,7.0,73.0,82.0,102.0,8.0,50.0,7.0,113.0,1.0,97.0,74.0,8.0,5.0,27.0,124.0,43.0,7.0,47.0,0.0,151.0,9.0,137.0,0.0,0.0,4.0,35.0,2.0,62.0,18.0,33.0,24.0,90.0,43.0,8.0,3.0,6.0,9.0,7.0,1.0,1.0,0.0,0.0,221.0,2.21,0.1762360446570973,87.0,0.87,0.06937799043062201,137.0,1.37,0.10925039872408293,270.0,2.7,0.215311004784689
6,6,Trump - Speech7 - Edited.txt,05/04/2017,2017-04-05,2457848.5,0.3479212253829322,914.0,318.0,13.947368421052632,2.0,4.0,46.0,70.0,76.0,0.0,45.0,10.0,79.0,3.0,75.0,60.0,4.0,2.0,25.0,82.0,45.0,2.0,28.0,0.0,125.0,6.0,61.0,0.0,0.0,3.0,21.0,1.0,52.0,30.0,26.0,23.0,59.0,25.0,6.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,1.57,0.17177242888402625,66.0,0.66,0.07221006564551423,61.0,0.61,0.06673960612691467,215.0,2.15,0.23522975929978118
7,7,Trump - Speech8 - Edited.txt,12/04/2017,2017-04-12,2457855.5,0.31852551984877125,1058.0,337.0,12.74736842105263,4.0,4.0,54.0,57.0,95.0,5.0,39.0,3.0,82.0,5.0,105.0,59.0,2.0,1.0,42.0,90.0,55.0,0.0,25.0,2.0,139.0,2.0,92.0,2.0,1.0,4.0,30.0,0.0,79.0,34.0,31.0,18.0,54.0,42.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,170.0,1.7,0.16068052930056712,62.0,0.62,0.05860113421550094,95.0,0.95,0.08979206049149338,258.0,2.58,0.2438563327032136
8,8,Trump - Speech9 - Edited.txt,20/04/2017,2017-04-20,2457863.5,0.3246628131021195,1038.0,337.0,12.050505050505052,3.0,6.0,49.0,56.0,99.0,1.0,47.0,10.0,98.0,5.0,93.0,61.0,5.0,0.0,24.0,95.0,44.0,3.0,22.0,1.0,134.0,9.0,99.0,1.0,0.0,3.0,28.0,3.0,50.0,19.0,32.0,26.0,71.0,39.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,1.64,0.1579961464354528,66.0,0.66,0.06358381502890173,100.0,1.0,0.09633911368015415,237.0,2.37,0.22832369942196531
9,9,Trump - Speech10 - Edited.txt,18/05/2017,2017-05-18,2457891.5,0.31628242074927954,1388.0,439.0,13.403361344537814,16.0,6.0,64.0,86.0,119.0,6.0,51.0,0.0,122.0,9.0,132.0,95.0,1.0,3.0,20.0,140.0,70.0,3.0,51.0,0.0,152.0,11.0,112.0,1.0,0.0,4.0,49.0,1.0,67.0,35.0,39.0,20.0,99.0,55.0,13.0,16.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,264.0,2.64,0.19020172910662825,99.0,0.99,0.07132564841498559,113.0,1.13,0.0814121037463977,315.0,3.15,0.22694524495677235
