,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,SYM,FW,WP$
0,Bush - Speech122 - Edited.txt,0.21707884168251956,4731.0,1027.0,16.054054054054053,9.0,12.0,149.0,2.0,21.0,273.0,333.0,31.0,150.0,36.0,509.0,15.0,460.0,238.0,10.0,7.0,98.0,521.0,156.0,15.0,163.0,4.0,14.0,539.0,49.0,270.0,6.0,3.0,33.0,160.0,8.0,309.0,104.0,126.0,97.0,321.0,143.0,37.0,35.0,29.0,21.0,0.0,0.0,0.0
1,Bush - Speech133 - Edited.txt,0.2835820895522388,1474.0,418.0,16.5,3.0,7.0,60.0,0.0,3.0,75.0,100.0,13.0,54.0,6.0,148.0,10.0,145.0,72.0,3.0,1.0,27.0,128.0,55.0,0.0,48.0,0.0,6.0,175.0,12.0,116.0,2.0,0.0,4.0,57.0,1.0,96.0,53.0,39.0,33.0,91.0,46.0,5.0,13.0,10.0,3.0,0.0,0.0,0.0
2,Bush - Speech83 - Edited.txt,0.36729663105998356,1217.0,447.0,17.55128205128205,3.0,3.0,41.0,1.0,0.0,73.0,78.0,20.0,54.0,16.0,131.0,8.0,137.0,74.0,1.0,1.0,35.0,130.0,79.0,4.0,36.0,1.0,3.0,120.0,14.0,71.0,1.0,0.0,7.0,30.0,0.0,70.0,18.0,17.0,23.0,61.0,38.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0
3,Bush - Speech17 - Edited.txt,0.27467811158798283,2796.0,768.0,20.72,12.0,7.0,117.0,2.0,0.0,160.0,150.0,46.0,120.0,18.0,296.0,12.0,298.0,131.0,5.0,3.0,64.0,290.0,133.0,5.0,79.0,0.0,8.0,292.0,19.0,206.0,2.0,1.0,13.0,87.0,0.0,175.0,62.0,68.0,68.0,148.0,89.0,21.0,26.0,10.0,0.0,1.0,0.0,0.0
4,Bush - Speech8 - edited.txt,0.28194800439399487,2731.0,770.0,15.300492610837438,14.0,13.0,118.0,0.0,3.0,170.0,203.0,48.0,99.0,24.0,294.0,14.0,284.0,152.0,6.0,10.0,60.0,309.0,89.0,3.0,71.0,3.0,8.0,312.0,18.0,198.0,3.0,2.0,17.0,80.0,7.0,140.0,79.0,72.0,57.0,145.0,81.0,11.0,16.0,14.0,3.0,1.0,0.0,0.0
5,Bush - Speech131 - Edited.txt,0.28842412451361865,2056.0,593.0,16.73913043478261,1.0,6.0,89.0,0.0,3.0,115.0,138.0,14.0,77.0,11.0,203.0,20.0,206.0,109.0,7.0,0.0,29.0,205.0,81.0,9.0,77.0,2.0,6.0,227.0,10.0,155.0,2.0,0.0,9.0,81.0,3.0,136.0,40.0,58.0,51.0,128.0,70.0,4.0,8.0,14.0,2.0,0.0,0.0,0.0
6,Bush - Speech107- Edited.txt,0.2532703488372093,2752.0,697.0,22.352941176470587,11.0,9.0,110.0,0.0,1.0,150.0,136.0,18.0,104.0,14.0,293.0,19.0,305.0,166.0,14.0,6.0,76.0,254.0,84.0,16.0,133.0,3.0,3.0,273.0,23.0,169.0,3.0,1.0,10.0,102.0,0.0,164.0,32.0,80.0,53.0,176.0,86.0,25.0,29.0,18.0,1.0,0.0,0.0,0.0
7,Bush - Speech22 - Edited.txt,0.2402458578300374,3742.0,899.0,19.70754716981132,20.0,13.0,172.0,0.0,0.0,214.0,212.0,67.0,183.0,25.0,371.0,32.0,405.0,202.0,15.0,7.0,98.0,380.0,149.0,9.0,111.0,1.0,5.0,368.0,40.0,296.0,5.0,1.0,23.0,114.0,2.0,256.0,60.0,76.0,62.0,214.0,101.0,29.0,28.0,16.0,0.0,0.0,1.0,0.0
8,Bush - Speech65 - Edited.txt,0.23187686196623636,4028.0,934.0,19.84070796460177,18.0,6.0,165.0,2.0,3.0,227.0,226.0,60.0,196.0,35.0,438.0,15.0,427.0,224.0,4.0,11.0,119.0,412.0,136.0,8.0,111.0,1.0,1.0,434.0,41.0,278.0,5.0,4.0,22.0,124.0,4.0,239.0,103.0,66.0,75.0,220.0,122.0,24.0,30.0,31.0,5.0,1.0,0.0,0.0
9,Bush - Speech64 - Edited.txt,0.24006163328197228,3245.0,779.0,16.901869158878505,9.0,5.0,144.0,0.0,0.0,151.0,214.0,37.0,124.0,28.0,342.0,19.0,336.0,160.0,3.0,9.0,79.0,323.0,142.0,18.0,111.0,2.0,8.0,336.0,25.0,210.0,2.0,1.0,13.0,126.0,6.0,217.0,51.0,53.0,72.0,203.0,121.0,17.0,36.0,21.0,0.0,0.0,0.0,1.0
