,Filename,TTR,WordCount,UniqueWords,MLU,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,$,FW,WP$
0,Reagan - Speech19 - Edited.txt,0.2640113798008535,3515.0,928.0,23.938271604938272,2.0,200.0,162.0,4.0,149.0,25.0,367.0,35.0,451.0,165.0,6.0,2.0,59.0,376.0,129.0,3.0,143.0,1.0,3.0,301.0,54.0,238.0,3.0,2.0,25.0,112.0,4.0,190.0,78.0,84.0,103.0,194.0,107.0,38.0,38.0,23.0,2.0,0.0,0.0,0.0
1,Reagan - Speech3 - Edited.txt,0.2768086931655705,3497.0,968.0,23.625766871165645,2.0,189.0,164.0,0.0,134.0,48.0,381.0,11.0,442.0,194.0,7.0,9.0,67.0,399.0,117.0,4.0,146.0,4.0,2.0,306.0,40.0,220.0,3.0,1.0,14.0,121.0,1.0,175.0,84.0,82.0,96.0,184.0,113.0,42.0,27.0,19.0,2.0,1.0,0.0,0.0
2,Reagan - Speech4 - Edited.txt,0.2893368010403121,3076.0,890.0,27.136,8.0,187.0,125.0,5.0,136.0,42.0,321.0,20.0,419.0,163.0,6.0,7.0,51.0,370.0,109.0,5.0,145.0,4.0,12.0,229.0,50.0,172.0,1.0,2.0,16.0,99.0,3.0,151.0,75.0,72.0,83.0,149.0,78.0,25.0,22.0,19.0,6.0,5.0,0.0,0.0
3,Reagan - Speech28 - Edited.txt,0.269267364414843,3153.0,849.0,25.49264705882353,2.0,178.0,136.0,2.0,150.0,18.0,357.0,13.0,427.0,144.0,5.0,1.0,62.0,400.0,63.0,5.0,140.0,4.0,3.0,279.0,37.0,161.0,0.0,0.0,17.0,97.0,8.0,162.0,101.0,102.0,76.0,168.0,67.0,33.0,31.0,12.0,2.0,3.0,1.0,0.0
4,Reagan - Speech18 - Edited.txt,0.25656923531148507,3387.0,869.0,20.55191256830601,5.0,186.0,183.0,7.0,139.0,46.0,351.0,26.0,421.0,142.0,8.0,2.0,56.0,358.0,120.0,8.0,138.0,1.0,3.0,328.0,43.0,212.0,2.0,0.0,17.0,93.0,11.0,147.0,166.0,78.0,87.0,174.0,94.0,41.0,40.0,19.0,5.0,4.0,0.0,0.0
5,Reagan - Speech5 - Edited.txt,0.2672556598564329,3622.0,968.0,24.570552147239265,4.0,218.0,163.0,6.0,144.0,32.0,397.0,20.0,496.0,194.0,16.0,6.0,74.0,452.0,84.0,6.0,133.0,4.0,2.0,306.0,58.0,205.0,2.0,1.0,14.0,118.0,4.0,196.0,59.0,78.0,106.0,191.0,125.0,43.0,19.0,22.0,4.0,3.0,0.0,0.0
6,Reagan - Speech2 - Edited.txt,0.2620533182076007,3526.0,924.0,24.2875,5.0,197.0,160.0,4.0,132.0,34.0,383.0,21.0,458.0,173.0,6.0,7.0,81.0,418.0,81.0,5.0,140.0,5.0,3.0,327.0,38.0,223.0,5.0,1.0,11.0,114.0,6.0,189.0,87.0,102.0,87.0,192.0,96.0,38.0,31.0,19.0,5.0,2.0,0.0,0.0
7,Reagan - Speech29 - Edited.txt,0.27022900763358776,3275.0,885.0,21.5207100591716,0.0,188.0,169.0,7.0,148.0,27.0,354.0,20.0,404.0,150.0,8.0,4.0,56.0,329.0,120.0,5.0,117.0,3.0,5.0,326.0,30.0,227.0,1.0,0.0,9.0,100.0,11.0,174.0,88.0,80.0,89.0,197.0,95.0,32.0,44.0,17.0,0.0,3.0,0.0,0.0
8,Reagan - Speech24 - Edited.txt,0.271889400921659,3472.0,944.0,23.763975155279503,1.0,191.0,161.0,8.0,141.0,36.0,351.0,21.0,442.0,169.0,11.0,4.0,83.0,370.0,115.0,4.0,130.0,10.0,7.0,341.0,46.0,246.0,4.0,0.0,21.0,100.0,5.0,193.0,97.0,78.0,87.0,199.0,83.0,39.0,15.0,15.0,1.0,1.0,0.0,0.0
9,Reagan - Speech23 - Edited.txt,0.2611324903793293,3638.0,950.0,24.662576687116566,5.0,219.0,163.0,6.0,152.0,47.0,410.0,22.0,474.0,195.0,4.0,4.0,62.0,422.0,105.0,3.0,139.0,7.0,2.0,302.0,42.0,223.0,5.0,3.0,12.0,124.0,5.0,184.0,141.0,100.0,91.0,161.0,94.0,27.0,28.0,22.0,5.0,9.0,0.0,1.0
