,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PRP,PRP$,RB,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,PDT,POS,RBS,WP$,RBR
0,Trump - Speech6 - Edited.txt,0.3118022328548644,1254.0,391.0,14.098039215686274,8.0,7.0,73.0,1.0,9.0,82.0,102.0,8.0,50.0,7.0,113.0,1.0,1.0,97.0,74.0,8.0,5.0,27.0,124.0,43.0,7.0,47.0,151.0,9.0,137.0,4.0,35.0,2.0,62.0,18.0,33.0,24.0,90.0,43.0,8.0,3.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0
1,Trump - Speech18 - Edited.txt,0.2977303070761015,1498.0,446.0,15.194690265486726,7.0,0.0,73.0,0.0,0.0,105.0,113.0,1.0,65.0,13.0,151.0,2.0,0.0,154.0,102.0,9.0,1.0,31.0,148.0,65.0,12.0,76.0,170.0,11.0,117.0,7.0,40.0,3.0,61.0,19.0,48.0,24.0,112.0,40.0,3.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0
2,Trump - Speech1 - Edited.txt,0.281437125748503,1503.0,423.0,17.1,6.0,8.0,70.0,1.0,0.0,107.0,100.0,0.0,81.0,4.0,128.0,1.0,0.0,150.0,85.0,0.0,1.0,39.0,121.0,75.0,3.0,55.0,197.0,19.0,119.0,8.0,39.0,0.0,86.0,44.0,51.0,20.0,103.0,33.0,7.0,12.0,14.0,0.0,2.0,3.0,0.0,0.0,2.0
3,Trump - Speech23 - Edited.txt,0.25366262034323983,2389.0,606.0,14.655913978494624,6.0,11.0,125.0,0.0,5.0,149.0,186.0,7.0,107.0,15.0,220.0,5.0,1.0,224.0,142.0,11.0,3.0,53.0,231.0,122.0,12.0,94.0,272.0,18.0,172.0,11.0,85.0,3.0,145.0,45.0,59.0,42.0,147.0,82.0,18.0,11.0,16.0,5.0,2.0,4.0,0.0,0.0,2.0
4,Trump - Speech3 - Edited.txt,0.36235038084874865,919.0,333.0,15.537313432835822,8.0,1.0,40.0,0.0,0.0,55.0,67.0,2.0,40.0,1.0,75.0,1.0,1.0,93.0,65.0,3.0,0.0,16.0,81.0,44.0,6.0,51.0,103.0,12.0,84.0,3.0,30.0,0.0,49.0,15.0,32.0,8.0,60.0,21.0,8.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0
5,Trump - Speech28 - Edited.txt,0.1871803614047051,2933.0,549.0,11.632302405498281,16.0,12.0,137.0,4.0,0.0,159.0,291.0,44.0,108.0,41.0,237.0,3.0,0.0,241.0,152.0,2.0,5.0,78.0,229.0,115.0,5.0,94.0,427.0,21.0,225.0,20.0,94.0,6.0,190.0,77.0,98.0,45.0,229.0,99.0,8.0,17.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0
6,Trump - Speech9 - Edited.txt,0.3246628131021195,1038.0,337.0,12.05050505050505,3.0,6.0,49.0,0.0,0.0,56.0,99.0,1.0,47.0,10.0,98.0,5.0,0.0,93.0,61.0,5.0,0.0,24.0,95.0,44.0,3.0,22.0,134.0,9.0,99.0,3.0,28.0,3.0,50.0,19.0,32.0,26.0,71.0,39.0,6.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
7,Trump - Speech15 - Edited.txt,0.3441208198489752,927.0,319.0,12.647058823529411,1.0,6.0,55.0,0.0,0.0,63.0,85.0,1.0,34.0,4.0,80.0,3.0,0.0,94.0,53.0,1.0,3.0,33.0,73.0,60.0,2.0,29.0,115.0,6.0,74.0,2.0,22.0,4.0,69.0,11.0,20.0,20.0,64.0,32.0,4.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0
8,Trump - Speech21 - Edited.txt,0.4137291280148423,539.0,223.0,15.073170731707316,2.0,8.0,23.0,0.0,1.0,38.0,41.0,2.0,23.0,3.0,34.0,6.0,0.0,57.0,27.0,0.0,0.0,9.0,47.0,27.0,0.0,17.0,54.0,9.0,55.0,0.0,25.0,1.0,35.0,23.0,8.0,10.0,27.0,26.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
9,Trump - Speech13 - Edited.txt,0.3666044776119403,1072.0,393.0,13.797752808988765,3.0,3.0,59.0,0.0,0.0,66.0,89.0,5.0,42.0,16.0,94.0,0.0,0.0,106.0,65.0,2.0,0.0,22.0,90.0,71.0,4.0,39.0,131.0,6.0,82.0,6.0,32.0,1.0,58.0,32.0,25.0,18.0,64.0,34.0,10.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
