Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Varatharajah, Y., Ramanan, V.K., Iyer, R., Vemuri, P., Weiner, M.W., Aisen, P., Petersen, R., Jack, C.R., Saykin, A.J., Jagust, W., Trojanowki, J.Q., Toga, A.W., Beckett, L., Green, R.C., Morris, J., Shaw, L.M., Khachaturian, Z., Sorensen, G., Carrillo, M., Kuller, L., Raichle, M., Paul, S., Davies, P., Fillit, H., Hefti, F., Holtzman, D., Mesulam, M.M., Potter, W., Snyder, P., Schwartz, A., Montine, T., Thomas, R.G., Donohue, M., Walter, S., Gessert, D., Sather, T., Jiminez, G., Balasubramanian, A.B., Mason, J., Sim, I., Harvey, D., Bernstein, M., Fox, N., Thompson, P., Schuff, N., DeCArli, C., Borowski, B., Gunter, J., Senjem, M., Jones, D., Kantarci, K., Ward, C., Koeppe, R.A., Foster, N., Reiman, E.M., Chen, K., Mathis, C., Landau, S., Cairns, N.J., Franklin, E., Taylor-Reinwald, L., Lee, V., Korecka, M., Figurski, M., Crawford, K., Neu, S., Foroud, T.M., Potkin, S., Faber, K., Kim, S., Nho, K., Thal, L., Buckholtz, N., Albert, M., Frank, R., Hsiao, J., Kaye, J., Quinn, J., Silbert, L., Lind, B., Carter, R., Dolen, S., Schneider, L.S., Pawluczyk, S., Beccera, M., Teodoro, L., Spann, B.M., Brewer, J., Vanderswag, H., Fleisher, A., Heidebrink, J.L., Lord, J.L., Mason, S.S., Albers, C.S., Knopman, D., Johnson, K., Doody, R.S., Villanueva-Meyer, J., Pavlik, V., Shibley, V., Chowdhury, M., Rountree, S., Dang, M., Stern, Y., Honig, L.S., Bell, K.L., Ances, B., Carroll, M., Creech, M.L., Franklin, E., Mintun, M.A., Schneider, S., Oliver, A., Marson, D., Geldmacher, D., Love, M.N., Griffith, R., Clark, D., Brockington, J., Roberson, E., Grossman, H., Mitsis, E., Shah, R.C., deToledo-Morrell, L., Duara, R., Greig-Custo, M.T., Barker, W., Onyike, C., D’Agostino, D., Kielb, S., Sadowski, M., Sheikh, M.O., Ulysse, A., Gaikwad, M., Doraiswamy, P.M., Petrella, J.R., Borges-Neto, S., Wong, T.Z., Coleman, E., Arnold, S.E., Karlawish, J.H., Wolk, D.A., Clark, C.M., Smith, C.D., Jicha, G., Hardy, P., Sinha, P., Oates, E., Conrad, G., Lopez, O.L., Oakley, M.A., Simpson, D.M., Porsteinsson, A.P., Goldstein, B.S., Martin, K., Makino, K.M., Ismail, M.S., Brand, C., Preda, A., Nguyen, D., Womack, K., Mathews, D., Quiceno, M., Levey, A.I., Lah, J.J., Cellar, J.S., Burns, J.M., Swerdlow, R.H., Brooks, W.M., Apostolova, L., Tingus, K., Woo, E., Silverman, D.H.S., Lu, P.H., Bartzokis, G., Graff-Radford, N.R., Parfitt, F., Poki-Walker, K., Farlow, M.R., Hake, A.M., Matthews, B.R., Brosch, J.R., Herring, S., van Dyck, C.H., Carson, R.E., MacAvoy, M.G., Varma, P., Chertkow, H., Bergman, H., Hosein, C., Black, S., Stefanovic, B., Caldwell, C., Hsiung, G.-Y.R., Mudge, B., Sossi, V., Feldman, H., Assaly, M., Finger, E., Pasternack, S., Rachisky, I., Rogers, J., Trost, D., Kertesz, A., Bernick, C., Munic, D., Rogalski, E., Lipowski, K., Weintraub, S., Bonakdarpour, B., Kerwin, D., Wu, C.-K., Johnson, N., Sadowsky, C., Villena, T., Turner, R.S., Johnson, K., Reynolds, B., Sperling, R.A., Johnson, K.A., Marshall, G., Yesavage, J., Taylor, J.L., Lane, B., Rosen, A., Tinklenberg, J., Sabbagh, M.N., Belden, C.M., Jacobson, S.A., Sirrel, S.A., Kowall, N., Killiany, R., Budson, A.E., Norbash, A., Johnson, P.L., Obisesan, T.O., Wolday, S., Allard, J., Lerner, A., Ogrocki, P., Tatsuoka, C., Fatica, P., Fletcher, E., Maillard, P., Olichney, J., DeCarli, C., Carmichael, O., Kittur, S., Borrie, M., Lee, T.-Y., Bartha, R., Johnson, S., Asthana, S., Carlsson, C.M., Tariot, P., Burke, A., Milliken, A.M., Trncic, N., Fleisher, A., Reeder, S., Bates, V., Capote, H., Rainka, M., Scharre, D.W., Kataki, M., Kelly, B., Zimmerman, E.A., Celmins, D., Brown, A.D., Pearlson, G.D., Blank, K., Anderson, K., Flashman, L.A., Seltzer, M., Hynes, M.L., Santulli, R.B., Sink, K.M., Gordineer, L., Williamson, J.D., Garg, P., Watkins, F., Ott, B.R., Tremont, G., Daiello, L.A., Salloway, S., Malloy, P., Correia, S., Rosen, H.J., Miller, B.L., Perry, D., Mintzer, J., Spicer, K., Bachman, D., Pomara, N., Hernando, R., Sarrael, A., Schultz, S.K., Smith, K.E., Koleva, H., Nam, K.W., Shim, H., Relkin, N., Chaing, G., Lin, M., Ravdin, L., Smith, A., Raj, B.A., Fargher, K.","55819516300;20436734600;35597694000;8970407400;57203177938;35397403800;57203031416;57204797268;57205212924;7006830290;56663241700;35412870200;57204912380;57203795593;35355376000;57203176542;57193353514;56662800900;35472816700;57200682268;35356906300;36039523300;57203502234;7005360171;7102143150;35416882500;24551527300;36093363700;57204536588;56662676700;7005231121;35370601400;16833592500;56727528100;56663236600;56663197400;56663207400;57189688375;57189690431;57189693723;57204922348;7202797227;7201444328;57200419506;7005417661;55326530600;6602178109;36899097500;8570598800;36969042000;6506482731;56968546900;23050318400;57202474337;7005957089;7410238086;55439794300;7101777243;57200826689;56704611400;14829780200;35350846200;6602867959;21833835200;24330868300;6701835861;57203677421;7005869841;37057263300;54385326900;6603774035;7101612300;36726432800;57204776117;8777709900;56662797500;57207904108;57202344047;7003403528;56202675100;56250666500;56663158000;57197702982;6508237713;56663286000;56663051300;6506233452;7201421327;56663229900;35603003000;6506265348;56662753400;56662732200;56662837900;57204797200;57197257602;7005632833;57189022903;57191430425;57194152252;7202634402;22951602900;56662839200;56833749600;56954714300;35467321900;6701431169;13907476000;57189686058;56704611400;7006297455;56662681800;55844845300;55989029500;7005109968;57205763051;7102951240;55363857600;12787143700;57203438766;56000095400;9250415300;10046255700;57205759711;56246197700;12040620900;57207785585;6602691382;57203880553;57200157478;35807160700;57189624655;57194147867;57194148750;57202614626;7003708933;7004505176;7403531361;57189690640;7201651592;7005020709;7004383975;7403545959;57203477134;56867484200;7102419243;57205906377;56662879700;57202459459;35351200500;56026875600;56662702600;6603579985;56662729500;53876200300;56662743200;55202761200;56662807100;56662857400;12767045500;7004632897;55092015000;6505572556;7101644033;56834296100;6507299834;57044001400;7003543438;54894142400;57202555891;23020559100;7103371082;7202035551;7402292882;7006613295;57205876502;57202570800;57194154108;57203024443;6602141861;23389479500;6506996548;57197462549;7004821580;7202925923;6602578683;7005335990;21833830200;7102553003;56663260900;35400981300;7006143845;36639753000;7005203713;56663092200;56276238300;7201854388;55444646800;36477160300;57189689939;57189683492;7404268618;57189683083;7103237646;6602680247;56663205700;15080801400;55540483700;7102082264;6603171977;57202553669;57202861614;7402373542;7003883271;56582257300;57200406482;55697109800;56662780300;7101961665;35398144000;11940855100;56827385000;7405408425;7202429001;7402942106;7005047793;35380609700;26022779600;7402234382;56663303300;7005740563;56776249900;7003547287;7003331973;56662627600;6603072375;57189687730;56662801900;7202948359;6507265776;57204579267;57189691067;7101768351;23767983900;57204906938;55326530600;6603086433;10243967900;6701579036;56662558600;7006517153;57201598532;7006820761;7103143605;7006688411;34978171600;57194154214;6507737774;35603003000;26635985900;6701576850;15025732200;23095564700;6603272574;6505859026;57196197494;56662793000;36467946000;57169217200;57202572400;7004854885;35472600700;7003956353;57189690714;15722269500;7003599940;8408618100;57189691958;7403199453;56208731900;55386490100;7004445459;6701385581;6506559148;7003840992;7004903479;35564683000;56788643900;35377631700;7202212906;7004465607;35568865000;35512324100;7005360684;6602219087;56663210000;7201741466;55568517708;35071596800;57194151634;55932812300;6603871396;56663200300;57206595854;6603633653;57198626762;56662778000;56663188800;","Predicting Short-term MCI-to-AD Progression Using Imaging, CSF, Genetic Factors, Cognitive Resilience, and Demographics",2019,"Scientific Reports","9","1", 2235,"","",,,"10.1038/s41598-019-38793-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061793788&doi=10.1038%2fs41598-019-38793-3&partnerID=40&md5=0203aae25976ada48770fb02637ca4de",Article,"Final",Open Access,Scopus,2-s2.0-85061793788
"Goudey, B., Fung, B.J., Schieber, C., Faux, N.G., Weiner, M.W., Aisen, P., Petersen, R., Jack, C.R., Jagust, W., Trojanowki, J.Q., Toga, A.W., Beckett, L., Green, R.C., Saykin, A.J., Morris, J., Shaw, L.M., Kaye, J., Quinn, J., Silbert, L., Lind, B., Carter, R., Dolen, S., Schneider, L.S., Pawluczyk, S., Beccera, M., Teodoro, L., Spann, B.M., Brewer, J., Vanderswag, H., Fleisher, A., Heidebrink, J.L., Lord, J.L., Mason, S.S., Albers, C.S., Knopman, D., Johnson, K., Doody, R.S., Villanueva-Meyer, J., Chowdhury, M., Rountree, S., Dang, M., Stern, Y., Honig, L.S., Bell, K.L., Ances, B., Morris, J.C., Carroll, M., Creech, M.L., Franklin, E., Mintun, M.A., Schneider, S., Oliver, A., Marson, D., Griffth, R., Clark, D., Geldmacher, D., Brockington, J., Roberson, E., Love, M.N., Grossman, H., Mitsis, E., Shah, R.C., deToledo-Morrell, L., Duara, R., Varon, D., Greig, M.T., Roberts, P., Albert, M., Onyike, C., D’Agostino, D., Kielb, S., Galvin, J.E., Cerbone, B., Michel, C.A., Pogorelec, D.M., Rusinek, H., de Leon, M.J., Glodzik, L., De Santi, S., Doraiswamy, P.M., Petrella, J.R., Borges-Neto, S., Wong, T.Z., Coleman, E., Smith, C.D., Jicha, G., Hardy, P., Sinha, P., Oates, E., Conrad, G., Porsteinsson, A.P., Goldstein, B.S., Martin, K., Makino, K.M., Ismail, M.S., Brand, C., Mulnard, R.A., Thai, G., Mc-Adams-Ortiz, C., Womack, K., Mathews, D., Quiceno, M., Levey, A.I., Lah, J.J., Cellar, J.S., Burns, J.M., Swerdlow, R.H., Brooks, W.M., Apostolova, L., Tingus, K., Woo, E., Silverman, D.H.S., Lu, P.H., Bartzokis, G., Graff-Radford, N.R., Parftt, F., Kendall, T., Johnson, H., Farlow, M.R., Hake, A.M., Matthews, B.R., Brosch, J.R., Herring, S., Hunt, C., van Dyck, C.H., Carson, R.E., MacAvoy, M.G., Varma, P., Chertkow, H., Bergman, H., Hosein, C., Black, S., Stefanovic, B., Caldwell, C., Hsiung, G.-Y.R., Feldman, H., Mudge, B., Assaly, M., Finger, E., Pasternack, S., Rachisky, I., Trost, D., Kertesz, A., Bernick, C., Munic, D., Mesulam, M.-M., Lipowski, K., Weintraub, S., Bonakdarpour, B., Kerwin, D., Wu, C.-K., Johnson, N., Sadowsky, C., Villena, T., Turner, R.S., Johnson, K., Reynolds, B., Sperling, R.A., Johnson, K.A., Marshall, G., Yesavage, J., Taylor, J.L., Lane, B., Rosen, A., Tinklenberg, J., Sabbagh, M.N., Belden, C.M., Jacobson, S.A., Sirrel, S.A., Kowall, N., Killiany, R., Budson, A.E., Norbash, A., Johnson, P.L., Obisesan, T.O., Wolday, S., Allard, J., Lerner, A., Ogrocki, P., Tatsuoka, C., Fatica, P., Fletcher, E., Maillard, P., Olichney, J., DeCarli, C., Carmichael, O., Kittur, S., Borrie, M., Lee, T.-Y., Bartha, R., Johnson, S., Asthana, S., Carlsson, C.M., Potkin, S.G., Preda, A., Nguyen, D., Tariot, P., Burke, A., Trncic, N., Fleisher, A., Reeder, S., Bates, V., Capote, H., Rainka, M., Scharre, D.W., Kataki, M., Adeli, A., Zimmerman, E.A., Celmins, D., Brown, A.D., Pearlson, G.D., Blank, K., Anderson, K., Flashman, L.A., Seltzer, M., Hynes, M.L., Santulli, R.B., Sink, K.M., Gordineer, L., Williamson, J.D., Garg, P., Watkins, F., Ott, B.R., Querfurth, H., Tremont, G., Salloway, S., Malloy, P., Correia, S., Rosen, H.J., Miller, B.L., Perry, D., Mintzer, J., Spicer, K., Bachman, D., Pomara, N., Hernando, R., Sarrael, A., Relkin, N., Chaing, G., Lin, M., Ravdin, L., Smith, A., Raj, B.A., Fargher, K., Saykin, A., Nho, K., Kling, M., Toledo, J., Shaw, L., Trojanowski, J., Farrer, L., Kastsenmüller, G., Arnold, M., Wishart, D., Würtz, P., Bhattcharyya, S., van Duijin, C., Mangravite, L., Han, X., Hankemeier, T., Fiehn, O., Barupal, D., Thiele, I., Heinken, A., Meikle, P., Price, N., Funk, C., Jia, W., Kueider-Paisley, A., Doraiswamy, P.M., Tenebaum, J., Black, C., Moseley, A., Thompson, W., Mahmoudiandehkorki, S., Baillie, R., Welsh-Bohmer, K., Plassman, B.","54393054300;57193111434;26638453900;55976959000;57208043114;35397403800;57203031416;57204797268;7006830290;56663241700;35412870200;57204912380;57203795593;7006442842;57207802968;57202847577;57207904108;57202344047;7003403528;56202675100;56250666500;56663158000;57197702982;6508237713;56663286000;56663051300;6506233452;7201421327;56663229900;35603003000;6506265348;56662753400;56662732200;56662837900;57204797200;57197257602;7005632833;57189022903;7202634402;22951602900;56662839200;56833749600;56954714300;35467321900;6701431169;35355376000;13907476000;57189686058;56704611400;7006297455;56662681800;55844845300;55989029500;57207686198;55363857600;7005109968;12787143700;57203438766;57205763051;56000095400;9250415300;10046255700;57205759711;56246197700;7005672125;7006542354;56662691300;57204776117;6602691382;57203880553;57200157478;14071228600;56663204100;56662723600;57189687786;7005170984;7102467326;23102805700;6603531841;57207695541;7003708933;7004505176;7403531361;57189690640;57203477134;56867484200;7102419243;57205906377;56662879700;57202459459;6603579985;56662729500;53876200300;56662743200;55202761200;56662807100;56867554100;36500258600;56663154500;7004632897;55092015000;6505572556;7101644033;56834296100;6507299834;57044001400;7003543438;54894142400;57202555891;23020559100;7103371082;7202035551;7402292882;7006613295;57205876502;57202416652;56662844000;14323572800;57203024443;6602141861;23389479500;6506996548;57197462549;56662734800;7004821580;7202925923;6602578683;7005335990;21833830200;7102553003;56663260900;35400981300;7006143845;36639753000;7005203713;7201854388;56663092200;55444646800;36477160300;57189689939;57189683492;57189683083;7103237646;6602680247;56663205700;57207807162;55540483700;57207807678;6603171977;57202553668;57202861614;7402373542;7003883271;56582257300;57200406482;57207691875;56662780300;7101961665;35398144000;11940855100;56827385000;7405408425;7202429001;7402942106;7005047793;35380609700;26022779600;7402234382;56663303300;57207902957;56776249900;7003547287;7003331973;56662627600;6603072375;57189687730;56662801900;7202948359;6507265776;57204579267;57189691067;7101768351;23767983900;57204906938;55326530600;6603086433;10243967900;6701579036;56662558600;7006517153;57201598532;7006820761;7103143605;7005869841;56662857400;12767045500;7006688411;34978171600;6507737774;35603003000;26635985900;6701576850;15025732200;23095564700;6603272574;6505859026;36247048400;56662793000;36467946000;57169217200;57202572400;7004854885;35472600700;7003956353;57189690714;15722269500;7003599940;8408618100;57189691958;57207690087;56208731900;55386490100;7004445459;6701529306;6701385581;57207900241;7004903479;35564683000;56788643900;56773201100;7202212906;7004465607;35568865000;35512324100;7005360684;6602219087;56663210000;6603871396;56663200300;57206595854;6603633653;57198626762;56662778000;56663188800;57205212924;6603774035;8874240000;54380869300;57203176542;57202554064;7005139839;57207685089;56350916100;57207696036;54879856600;57207684717;7801372728;57191290684;7402401137;8560890900;57203073233;57207694096;57205923278;55189937400;7004326607;57195762701;57207685487;57207688912;57205437427;57202614626;57207692920;57207688231;57207746203;57207688820;57207689806;7005602694;35355662500;6701890735;","A blood-based signature of cerebrospinal fluid Aβ <inf>1–42</inf> status",2019,"Scientific Reports","9","1", 4163,"","",,,"10.1038/s41598-018-37149-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062726457&doi=10.1038%2fs41598-018-37149-7&partnerID=40&md5=be7e934a938df22492c6e53ce57deec4",Article,"Final",Open Access,Scopus,2-s2.0-85062726457
"Du, X., Zhu, R., Li, Y., Anjum, A.","25928225900;8246575900;57208059129;14017643700;","Language model-based automatic prefix abbreviation expansion method for biomedical big data analysis",2019,"Future Generation Computer Systems","98",,,"238","251",,,"10.1016/j.future.2019.01.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063673771&doi=10.1016%2fj.future.2019.01.016&partnerID=40&md5=05be1df5ee02dcc30a40bf9629c9e727",Article,"Final",,Scopus,2-s2.0-85063673771
"Sheng, J., Wang, B., Zhang, Q., Liu, Q., Ma, Y., Liu, W., Shao, M., Chen, B.","57207828724;57189601148;57207833279;57205202973;57205197881;57205201961;57206670470;57205198070;","A novel joint HCPMMP method for automatically classifying Alzheimer's and different stage MCI patients",2019,"Behavioural Brain Research","365",,,"210","221",,,"10.1016/j.bbr.2019.03.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063013213&doi=10.1016%2fj.bbr.2019.03.004&partnerID=40&md5=181cb695e86329e635ca98fe5de9f697",Article,"Final",,Scopus,2-s2.0-85063013213
"Bi, X., Wang, H.","35267810500;57203412027;","Early Alzheimer's disease diagnosis based on EEG spectral images using deep learning",2019,"Neural Networks","114",,,"119","135",,,"10.1016/j.neunet.2019.02.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063089855&doi=10.1016%2fj.neunet.2019.02.005&partnerID=40&md5=518f1ccb925cea4257c7c1231d81addd",Article,"Final",,Scopus,2-s2.0-85063089855
"Dadi, K., Rahim, M., Abraham, A., Chyzhyk, D., Milham, M., Thirion, B., Varoquaux, G.","57191338537;56966235100;55891036200;36561208100;6701672014;7004721247;12808763400;","Benchmarking functional connectome-based predictive models for resting-state fMRI",2019,"NeuroImage","192",,,"115","134",,,"10.1016/j.neuroimage.2019.02.062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062862286&doi=10.1016%2fj.neuroimage.2019.02.062&partnerID=40&md5=79b0e9b2d41353647013cf69aeb5ff5b",Article,"Final",,Scopus,2-s2.0-85062862286
"Spasov, S., Passamonti, L., Duggento, A., Liò, P., Toschi, N.","57204671781;6602299669;23004055200;57202082220;6602297547;","A parameter-efficient deep learning approach to predict conversion from mild cognitive impairment to Alzheimer's disease",2019,"NeuroImage","189",,,"276","287",,,"10.1016/j.neuroimage.2019.01.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060300289&doi=10.1016%2fj.neuroimage.2019.01.031&partnerID=40&md5=de0ef3a5815b4a058b25708ae61c034c",Article,"Final",,Scopus,2-s2.0-85060300289
"Bruun, M., Frederiksen, K.S., Rhodius-Meester, H.F.M., Baroni, M., Gjerum, L., Koikkalainen, J., Urhemaa, T., Tolonen, A., Van Gils, M., Rueckert, D., Dyremose, N., Andersen, B.B., Lemstra, A.W., Hallikainen, M., Kurl, S., Herukka, S.-K., Remes, A.M., Waldemar, G., Soininen, H., Mecocci, P., Van Der Flier, W.M., Lötjönen, J., Hasselbalch, S.G.","55976125400;39261216900;37034767600;56704602300;57198431360;6603098087;55368951500;56178352400;7004168933;57207887390;57206770715;57191431118;6603488459;7103237198;13605651400;6508170833;6603846847;7006374342;57192384661;7006313835;57204743974;8324761200;7003306777;","Impact of a clinical decision support tool on prediction of progression in early-stage dementia: A prospective validation study",2019,"Alzheimer's Research and Therapy","11","1", 25,"","",,,"10.1186/s13195-019-0482-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063294881&doi=10.1186%2fs13195-019-0482-3&partnerID=40&md5=180a70bc092eaa564168ac2a42e134f4",Article,"Final",Open Access,Scopus,2-s2.0-85063294881
"Wang, H., Shen, Y., Wang, S., Xiao, T., Deng, L., Wang, X., Zhao, X.","57207866975;25121829200;53872228000;56684144700;57191262824;57205349881;57205354896;","Ensemble of 3D densely connected convolutional network for diagnosis of mild cognitive impairment and Alzheimer's disease",2019,"Neurocomputing","333",,,"145","156",,,"10.1016/j.neucom.2018.12.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059663275&doi=10.1016%2fj.neucom.2018.12.018&partnerID=40&md5=018c215441952a5427fe9ab681ca5fe7",Article,"Final",,Scopus,2-s2.0-85059663275
"Puranik, M., Shah, H., Shah, K., Bagul, S.","57208102764;57208105219;57207112264;57208104562;","Intelligent Alzheimer's Detector Using Deep Learning",2019,"Proceedings of the 2nd International Conference on Intelligent Computing and Control Systems, ICICCS 2018",,, 8663065,"318","323",,,"10.1109/ICCONS.2018.8663065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063787195&doi=10.1109%2fICCONS.2018.8663065&partnerID=40&md5=76705537e6214da913ba54747a1e7130",Conference Paper,"Final",,Scopus,2-s2.0-85063787195
