"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Computerized neuropsychological assessment in mild cognitive impairment based on natural language processing-oriented feature extraction","C. Fang; P. Janwattanapong; H. Martin; M. Cabrerizo; A. Barreto; D. Loewenstein; R. Duara; M. Adjouadi","Center for Advanced Technology and Education, Florida International University, Miami, Florida 33174; Center for Advanced Technology and Education, Florida International University, Miami, Florida 33174; Center for Advanced Technology and Education, Florida International University, Miami, Florida 33174; Center for Advanced Technology and Education, Florida International University, Miami, Florida 33174; Center for Advanced Technology and Education, Florida International University, Miami, Florida 33174; Florida Alzheimer's Disease Research Center (ADRC), University of Florida, Gainesville, Florida 32610; Florida Alzheimer's Disease Research Center (ADRC), University of Florida, Gainesville, Florida 32610; Center for Advanced Technology and Education, Florida International University, Miami, Florida 33174","2017 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","","2017","","","543","546","Typically, neuropsychological testing helps medical experts situate a given patient in continuum of the Alzheimer's disease (AD) spectrum, especially in the continuum between cognitively normal controls (CN) and the prodromal stage of mild cognitive impairment (MCI). As a well-known early symptom, some linguistic complexity changes of language have been associated with the progression of AD. Currently, the investigations of linguistic manifestations of MCI do mostly rely on manual analysis, yet linguistic complexity-based neuropsychological assessment cannot be effectively attained by using manual approaches. Taking advantage of the existing natural language processing (NLP) techniques to extract key features in linguistic complexity changes associated with the progression of MCI, this study develops an NLP-oriented computerized neuropsychological assessment to automatically analyze the distinguishing characteristics of data in the MCI group versus those in cognitively normal control (CN) group. By using the transcripts of news conferences from President Ronald Reagan, who was diagnosed with Alzheimer's disease in 1994, and President Dwight D. Eisenhower (DE), and President George H. W. Bush (GB), who have no known diagnosis of AD, this study found the significantly different patterns of the linguistic complexity changes between CN and MCI subjects, which can be applied into the diagnosis of MCI.","","978-1-5090-3050-7978-1-5090-3051","10.1109/BIBM.2017.8217706","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8217706","feature extraction;text mining;natural language processing;computerized neuropsychological assessment;mild cognitive impairment;linguistic complexity","Pragmatics;Feature extraction;Complexity theory;Market research;Natural language processing;Dementia","cognition;computational complexity;diseases;feature extraction;medical computing;natural language processing;neurophysiology;patient treatment","computerized neuropsychological assessment;mild cognitive impairment;feature extraction;neuropsychological testing;Alzheimer's disease;linguistic complexity changes;linguistic manifestations;natural language processing;cognitively normal control group;MCI group","","1","11","","","","","IEEE","IEEE Conferences"
"Energy detection based spectrum sensing data mining for safety-message delivery in CR enabled VANET","P. Anushiya; M. Suganthi","Department of ECE, Thiagarajar College of Engineering, Madurai, India; Department of ECE, Thiagarajar College of Engineering, Madurai, India","2018 2nd International Conference on Inventive Systems and Control (ICISC)","","2018","","","1130","1133","A cognitive radio (CR) is an intelligent radio transceiver designed to use the best wireless channels in its vicinity. It automatically detects available channels in wireless spectrum, and then accordingly changes its transmission or reception parameters. VANET is a special ad-hoc network that equips vehicles with wireless communication devices. Hence vehicles can talk with Road side unit (RSU) and the traffic information can be shared among them. This work improves algorithm is to improve the reliability of safety message transmission and to control the road accident. Prediction algorithm methods used are Spatial Correlation Mining, Temporal Correlation Mining, and Historical Spectrum Sensing Data Mining(HSS). All vehicles share hidden channel state transition model in statistic. Using Hidden Markov Model(HMM), the relationship between observations and hidden channel states are estimated, and characterized the channel state transition rule among sequential spectrum sensing decisions. The correlation among spectrum sensing data from different vehicles is called spatial correlation and Dirichlet Process(DP) is used to model this property. HSS prediction algorithm is used to pick out the channel with the greatest probability of availability. This can efficiently avoid harmful interference to PUs and reduce transmission delay of urgent safety message applications.","","978-1-5386-0807-4978-1-5386-0806-7978-1-5386-0808","10.1109/ICISC.2018.8398979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398979","Vehicular ad-hoc networks;Cognitive radio;Channel availability prediction;Spectrum sensing;Data mining","Sensors;Hidden Markov models;Vehicular ad hoc networks;Correlation;Cognitive radio;Data mining","cognitive radio;data mining;hidden Markov models;radio spectrum management;radio transceivers;road accidents;vehicular ad hoc networks;wireless channels","cognitive radio;ad-hoc network;road side unit;hidden Markov model;spatial correlation mining;temporal correlation mining;historical spectrum sensing data mining;safety message applications;CR enabled VANET;road accident control;Dirichlet process;transmission delay;HSS prediction algorithm;sequential spectrum sensing decisions;channel state transition rule;hidden channel states;hidden channel state transition model;prediction algorithm methods;safety message transmission;traffic information;wireless communication devices;wireless spectrum;wireless channels;intelligent radio transceiver;safety-message delivery;energy detection","","","25","","","","","IEEE","IEEE Conferences"
"Machine Learning-Based Method for Personalized and Cost-Effective Detection of Alzheimer's Disease","J. Escudero; E. Ifeachor; J. P. Zajicek; C. Green; J. Shearer; S. Pearson, for the Alzheimer's Disease Neuroimaging Initiative","Signal Processing and Multimedia Communications Research Group, School of Computing and Mathematics, Plymouth University, Plymouth, U.K.; Signal Processing and Multimedia Communications Research Group, School of Computing and Mathematics, Plymouth University, Plymouth, U.K.; Clinical Neurology Research Group, Peninsula College of Medicine and Dentistry, Plymouth University, Plymouth, U.K.; Health Economics Group, Peninsula College of Medicine and Dentistry, University of Exeter, Exeter, U.K.; Health Economics Group, Peninsula College of Medicine and Dentistry, University of Exeter, Exeter, U.K.; Devon Partnership NHS Trust, Ivybridge, U.K.","IEEE Transactions on Biomedical Engineering","","2013","60","1","164","168","Diagnosis of Alzheimer's disease (AD) is often difficult, especially early in the disease process at the stage of mild cognitive impairment (MCI). Yet, it is at this stage that treatment is most likely to be effective, so there would be great advantages in improving the diagnosis process. We describe and test a machine learning approach for personalized and cost-effective diagnosis of AD. It uses locally weighted learning to tailor a classifier model to each patient and computes the sequence of biomarkers most informative or cost-effective to diagnose patients. Using ADNI data, we classified AD versus controls and MCI patients who progressed to AD within a year, against those who did not. The approach performed similarly to considering all data at once, while significantly reducing the number (and cost) of the biomarkers needed to achieve a confident diagnosis for each patient. Thus, it may contribute to a personalized and effective detection of AD, and may prove useful in clinical settings.","0018-9294;1558-2531","","10.1109/TBME.2012.2212278","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6263281","Alzheimer’s disease (AD);classification;cost;machine learning;mild cognitive impairment (MCI);personalization","Biomarkers;Alzheimer's disease;Accuracy;Machine learning;Neuroimaging;Magnetic resonance imaging","diseases;learning (artificial intelligence);medical computing;neurophysiology;patient diagnosis;pattern classification","machine learning based method;personalized Alzheimer disease detection;cost effective Alzheimer disease detection;mild cognitive impairment;locally weighted learning;classifier model;biomarker sequence;ADNI data;MCI patients","Alzheimer Disease;Alzheimer Disease;Alzheimer Disease;Alzheimer Disease;Artificial Intelligence;Biological Markers;Biological Markers;Cost-Benefit Analysis;Databases, Factual;Disease Progression;Female;Humans;Individualized Medicine;Individualized Medicine;Magnetic Resonance Imaging;Male;Mild Cognitive Impairment;Mild Cognitive Impairment;Mild Cognitive Impairment;Mild Cognitive Impairment;Reproducibility of Results","16","15","","","","","IEEE","IEEE Journals & Magazines"
"A System for Aiding Diagnosis of Alzheimer’s Disease and Related Disorders with an Adaptable Decision Model","C. M. Carvalho; F. L. Seixas; D. C. Muchaluat-Saade; A. Conci; Y. Boechat; J. Laks","Institute of Computing Fluminense Federal University, Niterói, RJ, Brazil; Institute of Computing Fluminense Federal University, Niterói, RJ, Brazil; Institute of Computing Fluminense Federal University, Niterói, RJ, Brazil; Institute of Computing Fluminense Federal University, Niterói, RJ, Brazil; Antônio Pedro University Hospital, Geriatrics Sector Fluminense Federal University Niterói, RJ, Brazil; Center for Alzheimer’s Disease and Related Disorders, Institute of Psychiatry Federal University of Rio de Janeiro Rio de Janeiro, RJ, Brazil","2018 International Joint Conference on Neural Networks (IJCNN)","","2018","","","1","8","Aging is a worldwide phenomenon and represents a growing concern for public health systems. In this context, neurodegenerative diseases like Alzheimer's Disease (AD) have a high prevalence among the elderly. Early diagnosis of AD allows early treatment and improves patient's quality of life. In this paper, we propose a clinical decision support system (CDSS) to aid physicians in diagnosis of AD and related disorders: Dementia (D) and Mild Cognitive Impairment (MCI). For each case, the system exhibits the most probable diagnosis, the most relevant health records and unobserved health records that could confirm such diagnosis. Moreover, the system has the ability to refine its decision model using the final diagnosis reported by physicians. The system can offer to physicians a friendly user interface designed for smartphones. The proposed decision support system is flexible and adaptable to different contexts, since it allows new neuropsychological tests to be included and its decision model to be adapted automatically. Clinical cases from Center for Alzheimer's Disease (CAD) of Federal University of Rio de Janeiro (UFRJ) were used as the training dataset for the proposed supervised learning method. Preliminary tests using clinical cases from Antônio Pedro University Hospital (HUAP) of Fluminense Federal University (UFF) showed that the proposed CDSS decision model achieves good performance (accuracy of 0.94 for D and 0.85 for MCI) by a computational method that evaluates several classifiers and selects the best for each mental disorder.","2161-4407","978-1-5090-6014-6978-1-5090-6015","10.1109/IJCNN.2018.8489084","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489084","Clinical Decision Support Systems;Computeraided diagnosis;predictive models;Alzheimer’s disease","Dementia;Adaptation models;Data models;Training;Computational modeling","cognition;decision support systems;diseases;geriatrics;health care;learning (artificial intelligence);medical diagnostic computing;medical information systems;neurophysiology;user interfaces","clinical cases;CDSS decision model;aiding diagnosis;Alzheimer's Disease;adaptable decision model;public health systems;neurodegenerative diseases;early diagnosis;early treatment;clinical decision support system;physicians;Mild Cognitive Impairment;probable diagnosis;relevant health records;unobserved health records;final diagnosis;CAD;Federal University of Rio de Janeiro;UFRJ;Antônio Pedro University Hospital;HUAP;Fluminense Federal University;UFF;mental disorder","","","48","","","","","IEEE","IEEE Conferences"
"A Predictive Model for Identifying Possible MCI to AD Conversions in the ADNI Database","X. Qu; B. Yuan; W. Liu","NA; NA; NA","2009 Second International Symposium on Knowledge Acquisition and Modeling","","2009","3","","102","105","Alzheimer's disease (AD) is one of the most common forms of dementia and has become a serious issue among the elderly in the aging society. Since AD is incurable and degenerative, early diagnosis is essential, which can give patients and their family more opportunities to arrange their lives. In the meantime, histopathologic studies have found that MCI (mild cognitive impairment) subjects usually have intermediate levels of AD pathology. In this paper, a predictive model is developed for identifying possible conversions from MCI to AD based on the ADNI (Alzheimer's disease neuroimaging initiative) database. It is shown that, with the help of a range of advanced data mining techniques, the developed model can achieve promising performance with AUC around 0.88.","","978-0-7695-3888","10.1109/KAM.2009.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5362430","Alzheimer's Disease;ADNI;feature selection;imbalanced data","Predictive models;Databases;Alzheimer's disease;Dementia;Neuroimaging;Machine learning;Senior citizens;Aging;Face detection;Biomarkers","data mining;database management systems;medical computing","mild cognitive impairment;Alzheimer disease neuroimaging initiative database;Alzheimer disease conversion;data data mining techniques","","2","18","","","","","IEEE","IEEE Conferences"
"A comparison of syntax, semantics, and pragmatics in spoken language among residents with Alzheimer's disease in managed-care facilities","C. Guinn; B. Singer; A. Habash","Department of Computer Science, UNC Wilmington, USA; Department of Computer Science, UNC Wilmington, USA; Department of Computer Science, UNC Wilmington, USA","2014 IEEE Symposium on Computational Intelligence in Healthcare and e-health (CICARE)","","2014","","","98","103","This research is a discriminative analysis of conversational dialogues involving individuals suffering from dementia of Alzheimer's type. Several metric analyses are applied to the transcripts of the Carolina Conversation Corpus in order to determine if there are significant statistical differences between individuals with and without Alzheimer's disease. Our prior research suggests that there exist measurable linguistic differences between managed-care residents diagnosed with Alzheimer's disease and their caregivers. This paper presents results comparing managed-care residents diagnosed with Alzheimer's disease to other managed-care residents. Results from the analysis indicate that part-of-speech and lexical richness statistics may not be good distinguishing attributes. However, go-ahead utterances and certain fluency measures provide defensible means of differentiating the linguistic characteristics of spontaneous speech between individuals that are and are not diagnosed with Alzheimer's disease. Two machine learning algorithms were able to classify the speech of individuals with and without dementia of the Alzheimer's type with accuracy up to 80%.","","978-1-4799-4527","10.1109/CICARE.2014.7007840","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7007840","Natural language processing;NLP in healthcare;text classification;Alzheimer's disease","Speech;Dementia;Measurement;Degradation;Vocabulary","diseases;health care;learning (artificial intelligence);natural language processing;patient diagnosis;pattern classification;programming language semantics;speech;speech processing;statistical analysis","dementia;speech classification;machine learning algorithms;spontaneous speech;fluency measures;go-ahead utterances;lexical richness statistics;part-of-speech;caregivers;diagnosis;managed-care residents;linguistic differences;statistical differences;Carolina Conversation Corpus;metric analyses;conversational dialogues;discriminative analysis;managed-care facilities;Alzheimer disease;spoken language;pragmatics;semantics;syntax","","1","17","","","","","IEEE","IEEE Conferences"
"Detection of mild Alzheimer's disease and mild cognitive impairment from elderly speech: Binary discrimination using logistic regression","S. Kato; A. Homma; T. Sakuma; M. Nakamura","Nagoya Institute of Technology, Gokiso-cho, Showa-ku, 466-8555 Japan; Tokyo Dementia Care Research and Training Center, 1-12-1, Takaido Nishi, Suginami-ku, 168-0071, Japan; Nagoya Institute of Technology, Gokiso-cho, Showa-ku, 466-8555 Japan; Nagoya Institute of Technology, Gokiso-cho, Showa-ku, 466-8555 Japan","2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","","2015","","","5569","5572","In this research, we have developed a novel data-mining approach for detection of cognitive impairment, SPCIR (Speech Prosody-Based Cognitive Impairment Rating), which can discriminate between mild cognitive impairment and mild Alzheimer's disease from elderly using prosodic sign extracted from elderly speech during questionnaire test. This paper proposes a binary discrimination model of SPCIR using multivariate logistic regression and model selection using receiver operating characteristic (ROC) curve analysis, and reports the sensitivity and specificity of SPCIR for diagnosis (control; mild cognitive impairment/mild Alzheimer's disease).","1094-687X;1558-4615","978-1-4244-9271-8978-1-4244-9270","10.1109/EMBC.2015.7319654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7319654","","Speech;Dementia;Senior citizens;Sensitivity;Feature extraction","diseases;geriatrics;medical disorders;neurophysiology;patient diagnosis;regression analysis;speech","mild Alzheimer disease detection;mild cognitive impairment detection;elderly speech;data-mining approach;speech prosody-based cognitive impairment rating;prosodic sign extraction;binary discrimination model;multivariate logistic regression;receiver operating characteristic;ROC curve analysis;SPCIR sensitivity;SPCIR specificity;mild cognitive impairment diagnosis;mild Alzheimer disease diagnosis","Aged;Alzheimer Disease;Cognitive Dysfunction;Humans;Logistic Models;Neuropsychological Tests;ROC Curve;Speech","2","19","","","","","IEEE","IEEE Conferences"
"Natural language features for detection of Alzheimer's disease in conversational speech","A. Khodabakhsh; S. Kuşxuoğlu; C. Demiroğlu","Electrical and Computer Engineering Department, Ozyegin University, Istanbul, Turkey; Electrical and Computer Engineering Department, Ozyegin University, Istanbul, Turkey; Electrical and Computer Engineering Department, Ozyegin University, Istanbul, Turkey","IEEE-EMBS International Conference on Biomedical and Health Informatics (BHI)","","2014","","","581","584","Automatic monitoring of the patients with Alzheimer's disease and diagnosis of the disease in early stages can have a significant impact on the society. Here, we investigate an automatic diagnosis approach through the use of features derived from transcriptions of conversations with the subjects. As opposed to standard tests that are mostly focused on memory recall, spontaneous conversations are carried with the subjects in informal settings. Features extracted from the transcriptions of the conversations could discriminate between healthy people and patients with high reliability. Although the results are preliminary and patients were in later stages of Alzheimer's disease, results indicate the potential use of the proposed natural language based features in the early stages of the disease also. Moreover, the data collection process employed here can be done inexpensively by call center agents in a real-life application using automatic speech recognition systems (ASR) which are known to have very high accuracies in recent years. Thus, the investigated features hold the potential to make it low-cost and convenient to diagnose the disease and monitor the diagnosed patients over time.","2168-2194;2168-2208","978-1-4799-2131","10.1109/BHI.2014.6864431","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6864431","","Entropy;Feature extraction;Speech;Decision trees;Alzheimer's disease;Support vector machines","diseases;feature extraction;medical signal processing;natural language processing;patient diagnosis;patient monitoring;speech processing;speech recognition","Alzheimer's disease detection;conversational speech;automatic monitoring;disease diagnosis;automatic diagnosis approach;conversation transcriptions;memory recall;spontaneous conversations;informal settings;feature extraction;healthy people;natural language based features;early disease stages;data collection;call center agents;real-life application;automatic speech recognition systems;ASR;patient monitoring","","1","11","","","","","IEEE","IEEE Conferences"
"An integrated approach based on EEG signals processing combined with supervised methods to classify Alzheimer’s disease patients","G. Fiscon; E. Weitschek; M. C. De Cola; G. Felici; P. Bertolazzi","ACT Operations Research, Rome, Italy; Department of Engineering, Uninettuno International University, Rome, Italy; Centro Neurolesi “Bonino-Pulejo”, Messina, Italy; Institute of Systems Analysis and Computer Science, National Research Council, Rome, Italy; ACT Operations Research, Rome, Italy","2018 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","","2018","","","2750","2752","Alzheimer's Disease (AD) is the most widespread and incurable neurodegenerative disorder, and together with its preliminary stage - Mild Cognitive Impairment (MCI) - its detection still remains a challenging issue. Electroencephalography (EEG) is a non-invasive and repeatable technique to diagnose brain abnormalities. However, the analysis of EEG spectra is still carried out manually by experts and effective computer science methods to extract relevant information from these signals become a necessity. Through a data mining approach, which guides the automated knowledge discovery process, we aim to achieve an automatic patients classification from the EEG biomedical signals of AD and MCI, in order to support medical doctors in the diagnosis formulation. Specifically, we design an integrated procedure that encompasses the following steps: (1) data collection; (2) data preprocessing of EEG-signals data; (3) features extraction by applying time-frequency transforms on EEG-signals (Fourier and Wavelet analysis); and (3) a supervised learning approach to classify samples in patients suffering from AD, patients affected by MCI, and healthy control (HC) subjects. By applying our procedure, we are able to extract human-interpretable classification models that allow to automatically assign the patients into their belonging class. In particular, by exploiting a Wavelet feature extraction we achieve 83%, 92%, and 79% of accuracy when dealing with HC vs AD, HC vs MCI, and MCI vs AD classification problems, respectively. By comparing the classification performances with both feature extraction methods, we find out that Wavelets analysis outperforms Fourier. Thus, we suggest it in combination with supervised methods for automatic patients classification based on their EEG signals for aiding the medical diagnosis of dementia. We provided processed data from our study at ftp://bioinformatics.iasi.cnr.it/public/EEG/.","","978-1-5386-5488-0978-1-5386-5487-3978-1-5386-5489","10.1109/BIBM.2018.8621473","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8621473","EEG signals analysis;supervised learning;Alzheimer’s Disease","Electroencephalography;Feature extraction;Alzheimer's disease;Wavelet analysis;Electrodes;Transforms","brain;cognition;data mining;diseases;electroencephalography;feature extraction;Fourier analysis;learning (artificial intelligence);medical signal processing;neurophysiology;signal classification;wavelet transforms","feature extraction methods;supervised methods;automatic patients classification;Alzheimer's disease patients;incurable neurodegenerative disorder;Mild Cognitive Impairment;brain abnormalities;data mining approach;automated knowledge discovery process;EEG biomedical signals;diagnosis formulation;EEG-signals data;time-frequency transforms;supervised learning approach;human-interpretable classification models;AD classification problems;classification performances;wavelet analysis;wavelet feature extraction;Fourier analysis;dementia;electroencephalography","","","16","","","","","IEEE","IEEE Conferences"
"Historical Spectrum Sensing Data Mining for Cognitive Radio Enabled Vehicular Ad-Hoc Networks","X. Huang; J. Wu; W. Li; Z. Zhang; F. Zhu; M. Wu","Department of Information and Communication Engineering, Tongji University, Shanghai, China; Computer Science and Technology Department, Tongji University, Shanghai, China; Computer Science and Technology Department, Tongji University, Shanghai, China; Department of Electronic Science & Technology, Tongji University, Shanghai, China; ZTE Corporation, Shanghai, China; ZTE Corporation, Shanghai, China","IEEE Transactions on Dependable and Secure Computing","","2016","13","1","59","70","In vehicular ad-hoc network (VANET), the reliability of communication is associated with driving safety. However, research shows that the safety-message transmission in VANET may be congested under some urgent communication cases. More spectrum resource is an effective way to solve transmission congestion. Hence, we introduce cognitive radio (CR) enabled VANET (CR-VANET), where CR device can detect possible idle spectrum for VANET communications and assist to timely broadcast safety-message. Given high-speed mobility of vehicles and dynamically-changing availability of channels, a novel prediction algorithm is proposed to pick out the channel with the greatest probability of availability, which can meet the quality of service (QoS) requirement of urgent communications and effectively avoid conflict with licensed users. Specifically, the spatiotemporal correlations among historical spectrum sensing data are exploited to form prior knowledge of channel availability probability, and Bayesian inference is used to derive posterior probability of channel availability. Comparing with other spectrum detection methods, the proposed algorithm has more than 8 percent detection performance improvement at false alarm probability 0.2, and thus can avoid access conflict with licensed users dramatically. Furthermore, the proposed algorithm always has larger packet reception probability (PRP) and lower transmission delay compared with conventional VANET broadcasting. Hence, the proposed algorithm can improve reliability of safety-message transmission and enhance driving safety significantly.","1545-5971;1941-0018;2160-9209","","10.1109/TDSC.2015.2453967","National Natural Science Foundation of China; Natural Science Foundation of Shanghai; Shanghai Pujiang Program; Fundamental Research Funds for the Central Universities; Program for Young Excellent Talents in Tongji University; Shanghai Municipal Education Commission; Shanghai Education Development Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7152885","Vehicular ad-hoc networks;Cognitive radio;Channel availability prediction;Vehicular ad-hoc networks;cognitive radio;channel availability prediction;spectrum sensing;data mining","Sensors;Vehicles;Roads;Hidden Markov models;Vehicular ad hoc networks;Data mining;Data models","cognitive radio;data mining;mobility management (mobile radio);probability;quality of service;radio spectrum management;telecommunication computing;telecommunication congestion control;telecommunication network reliability;vehicular ad hoc networks;wireless channels","historical spectrum sensing data mining;cognitive radio enabled vehicular ad-hoc networks;CR-VANET;communication reliability;driving safety enhancement;safety-message transmission congestion;spectrum resource;high-speed vehicle mobility;dynamically-changing channel availability;prediction algorithm;quality-of-service requirement;spatiotemporal correlations;posterior probability;false alarm probability;packet reception probability;transmission delay","","24","38","","","","","IEEE","IEEE Journals & Magazines"
