Title,DOI
"Predicting Short-term MCI-to-AD Progression Using Imaging, CSF, Genetic Factors, Cognitive Resilience, and Demographics",10.1038/s41598-019-38793-3
A blood-based signature of cerebrospinal fluid Aβ <inf>1–42</inf> status,10.1038/s41598-018-37149-7
Language model-based automatic prefix abbreviation expansion method for biomedical big data analysis,10.1016/j.future.2019.01.016
A novel joint HCPMMP method for automatically classifying Alzheimer's and different stage MCI patients,10.1016/j.bbr.2019.03.004
Early Alzheimer's disease diagnosis based on EEG spectral images using deep learning,10.1016/j.neunet.2019.02.005
Benchmarking functional connectome-based predictive models for resting-state fMRI,10.1016/j.neuroimage.2019.02.062
A parameter-efficient deep learning approach to predict conversion from mild cognitive impairment to Alzheimer's disease,10.1016/j.neuroimage.2019.01.031
Impact of a clinical decision support tool on prediction of progression in early-stage dementia: A prospective validation study,10.1186/s13195-019-0482-3
Ensemble of 3D densely connected convolutional network for diagnosis of mild cognitive impairment and Alzheimer's disease,10.1016/j.neucom.2018.12.018
Intelligent Alzheimer's Detector Using Deep Learning,10.1109/ICCONS.2018.8663065
Classification of amyloid PET images using novel features for early diagnosis of Alzheimer's disease and mild cognitive impairment conversion,10.1097/MNM.0000000000000953
NMD-12: A new machine-learning derived screening instrument to detect mild cognitive impairment and dementia,10.1371/journal.pone.0213430
Instance-Based Representation Using Multiple Kernel Learning for Predicting Conversion to Alzheimer Disease,10.1142/S0129065718500429
Protocol for a conversation-based analysis study: PREVENT-ED investigates dialogue features that may help predict dementia onset in later life,10.1136/bmjopen-2018-026254
Iterative generation of insight from text collections through mutually reinforcing visualizations and fuzzy cognitive maps,10.1016/j.asoc.2018.12.020
Automated diagnosis of HIV-associated neurocognitive disorders using large-scale Granger causality analysis of resting-state functional MRI,10.1016/j.compbiomed.2019.01.006
Comparison analysis of machine learning algorithms to rank Alzheimer's disease risk factors by importance,10.1109/DeSE.2018.00008
The role of accelerometer and gyroscope sensors in identification of mild cognitive impairment,10.1109/GlobalSIP.2018.8646622
Cortical atrophy pattern–based subtyping predicts prognosis of amnestic MCI: an individual-level analysis,10.1016/j.neurobiolaging.2018.10.010
Hybrid multivariate pattern analysis combined with extreme learning machine for Alzheimer’s dementia diagnosis using multi-measure rs-fMRI spatial patterns,10.1371/journal.pone.0212582
Joint Pairing and Structured Mapping of Convolutional Brain Morphological Multiplexes for Early Dementia Diagnosis,10.1089/brain.2018.0578
Estimating coupling strength between multivariate neural series with multivariate permutation conditional mutual information,10.1016/j.neunet.2018.11.006
Feature Learning and Classification in Neuroimaging: Predicting Cognitive Impairment from Magnetic Resonance Imaging,10.1109/BigDIA.2018.8632797
Attitude detection for one-round conversation: Jointly extracting target-polarity pairs,10.1145/3289600.3291038
Machine learning studies on major brain diseases: 5-year trends of 2014–2018,10.1007/s11604-018-0794-4
Comparing Machine Learning Techniques for Dementia Diagnosis,10.1109/LA-CCI.2018.8625209
Effective Use of Data Science Toward Early Prediction of Alzheimer's Disease,10.1109/HPCC/SmartCity/DSS.2018.00240
Deep structural and clinical feature learning for semi-supervised multiclass prediction of Alzheimer's disease,10.1109/MWSCAS.2018.8623946
Prediction models for dementia and neuropathology in the oldest old: The Vantaa 85+ cohort study 11 Medical and Health Sciences 1109 Neurosciences,10.1186/s13195-018-0450-3
An integrated approach based on EEG signals processing combined with supervised methods to classify Alzheimer's disease patients,10.1109/BIBM.2018.8621473
Boosting 1 H-MRS Alzheimer Diagnosis with Boosted Trees,10.1109/BIBM.2018.8621148
Mining clinical and laboratory data of neurodegenerative diseases by Machine Learning: Transcriptomic biomarkers,10.1109/BIBM.2018.8621072
A Deep Neural Network Approach for Early Diagnosis of Mild Cognitive Impairment Using Multiple Features,10.1109/ICMLA.2018.00218
Automatic Recognition of Mild Cognitive Impairment and Alzheimers Disease Using Ensemble based 3D Densely Connected Convolutional Networks,10.1109/ICMLA.2018.00083
A Machine Learning Framework for Predicting Dementia and Mild Cognitive Impairment,10.1109/ICMLA.2018.00107
Profile-Specific Regression Model for Progression Prediction of Alzheimer's Disease Using Longitudinal Data,10.1109/ICMLA.2018.00220
Speech Processing for Early Alzheimer Disease Diagnosis: Machine Learning Based Approach,10.1109/AICCSA.2018.8612831
"Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA",
A Convolutional Neural Network approach for classification of dementia stages based on 2D-spectral representation of EEG recordings,10.1016/j.neucom.2018.09.071
Multilingual word embeddings for the assessment of narrative speech in mild cognitive impairment,10.1016/j.csl.2018.07.005
Prediction of Alzheimer’s disease in mild cognitive impairment using sulcal morphology and cortical thickness,10.1007/978-981-10-9035-6_13
Identifying Mild Cognitive Impairment and mild Alzheimer's disease based on spontaneous speech using ASR and linguistic features,10.1016/j.csl.2018.07.007
PROAFTN Classifier for Feature Selection with Application to Alzheimer Metabolomics Data Analysis,10.1142/S0218001419400135
"Detection of mild cognitive impairment in a community-dwelling population using quantitative, multiparametric MRI-based classification",10.1002/hbm.24554
Early Diagnosis of Alzheimer's Disease Based on Resting-State Brain Networks and Deep Learning,10.1109/TCBB.2017.2776910
Brain Network Analysis of Compressive Sensed High-Density EEG Signals in AD and MCI Subjects,10.1109/TII.2018.2868431
A framenet for cancer information in clinical narratives: Schema and annotation,
Multistage classifier-based approach for Alzheimer's disease prediction and retrieval,10.1016/j.imu.2018.12.003
Impact of a clinical decision support tool on dementia diagnostics in memory clinics: The predictnd validation study,10.2174/1567205016666190103152425
Sparse Feature Learning With Label Information for Alzheimer's Disease Classification Based on Magnetic Resonance Imaging,10.1109/ACCESS.2019.2894530
Neuroimaging and Machine Learning for Dementia Diagnosis: Recent Advancements and Future Prospects,10.1109/RBME.2018.2886237
"International Conference on Cognitive Informatics and Soft Computing, CISC 2017",
"2nd International Conference on Advanced Computing and Intelligent Engineering, ICACIE 2017",
"2nd International Conference on Advanced Computing and Intelligent Engineering, ICACIE 2017",
Investigating the impact of various feature selection techniques on the attributes used in the diagnosis of Alzheimer’s disease,10.1007/978-3-030-00665-5_166
Bioelectrical Correlates of Emotional Changes Induced by Environmental Sound and Colour: From Virtual Reality to Real Life,10.1007/978-3-030-01845-0_197
A Scalable Approach for 360° Feedback in Cooperative Learning,10.1109/ACCESS.2018.2887272
"International Conference on Emerging Trends in Expert Applications and Security, ICETEAS 2018",
Neuroimaging markers of global cognition in early Alzheimer's disease: A magnetic resonance imaging–electroencephalography study,10.1002/brb3.1197
Spark-based classification algorithms for daily living activities,10.1007/978-3-319-91189-2_8
Machine learning methods for detecting urinary tract infection and analysing daily living activities in people with dementia,10.1371/journal.pone.0209909
Applying use case logic patterns in practice: Lessons learnt,10.1007/978-3-319-99617-2_3
Machine Learning Enhances the Efficiency of Cognitive Screenings for Primary Care,10.1177/0891988719834349
"1st International Workshop on Artificial Intelligence in Health, AIH 2018",
Improving educational web search for question-like queries through subject classification,10.1016/j.ipm.2018.10.013
Missing Structural and Clinical Features Imputation for Semi-supervised Alzheimer's Disease Classification using Stacked Sparse Autoencoder,10.1109/BIOCAS.2018.8584844
Early Diagnosis of Mild Cognitive Impairment Using Random Forest Feature Selection,10.1109/BIOCAS.2018.8584773
Neuropsychological predictors of conversion from mild cognitive impairment to Alzheimer's disease: A feature selection ensemble combining stability and predictability,10.1186/s12911-018-0710-y
An automated pipeline for the analysis of PET data on the cortical surface,10.3389/fninf.2018.00094
