Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Machine learning based hierarchical classification of frontotemporal dementia and Alzheimer's disease.","/pubmed/30981204","Kim JP, Kim J, Park YH, Park SB, Lee JS, Yoo S, Kim EJ, Kim HJ, Na DL, Brown JA, Lockhart SN, Seo SW, Seong JK.","Neuroimage Clin. 2019 Apr 3;23:101811. doi: 10.1016/j.nicl.2019.101811. [Epub ahead of print]","Neuroimage Clin.  2019","PubMed","citation","PMID:30981204","pubmed","30981204","create date:2019/04/14 | first author:Kim JP",
"Early-Stage Identification and Pathological Development of Alzheimer's Disease Using Multimodal MRI.","/pubmed/30958352","Yan T, Wang Y, Weng Z, Du W, Liu T, Chen D, Li X, Wu J, Han Y.","J Alzheimers Dis. 2019;68(3):1013-1027. doi: 10.3233/JAD-181049.","J Alzheimers Dis.  2019","PubMed","citation","PMID:30958352","pubmed","30958352","create date:2019/04/09 | first author:Yan T",
"Proposal of a Machine Learning Approach to Differentiate Mild and Alzheimer's Condition in MR Images Using Shape Changes in Corpus Callosum.","/pubmed/30942758","Dadsena R, P R, Ramakrishnan S.","Stud Health Technol Inform. 2019;258:243-244.","Stud Health Technol Inform.  2019","PubMed","citation","PMID:30942758","pubmed","30942758","create date:2019/04/04 | first author:Dadsena R",
"Peripheral transcriptomic biomarkers for early detection of sporadic Alzheimer disease?","/pubmed/30936769","Hadar A, Gurwitz D.","Dialogues Clin Neurosci. 2018 Dec;20(4):293-300.","Dialogues Clin Neurosci.  2018","PubMed","citation","PMID:30936769 | PMCID:PMC6436957","pubmed","30936769","create date:2019/04/03 | first author:Hadar A",
"Protocol for a conversation-based analysis study: PREVENT-ED investigates dialogue features that may help predict dementia onset in later life.","/pubmed/30918035","de la Fuente Garcia S, Ritchie CW, Luz S.","BMJ Open. 2019 Mar 27;9(3):e026254. doi: 10.1136/bmjopen-2018-026254.","BMJ Open.  2019","PubMed","citation","PMID:30918035","pubmed","30918035","create date:2019/03/29 | first author:de la Fuente Garcia S",
"Individual Prediction of Behavioral Variant Frontotemporal Dementia Development Using Multivariate Pattern Analysis of Magnetic Resonance Imaging Data.","/pubmed/30909224","Zhutovsky P, Vijverberg EGB, Bruin WB, Thomas RM, Wattjes MP, Pijnenburg YAL, van Wingen GA, Dols A.","J Alzheimers Dis. 2019;68(3):1229-1241. doi: 10.3233/JAD-181004.","J Alzheimers Dis.  2019","PubMed","citation","PMID:30909224","pubmed","30909224","create date:2019/03/26 | first author:Zhutovsky P",
"Impact of a clinical decision support tool on prediction of progression in early-stage dementia: a prospective validation study.","/pubmed/30894218","Bruun M, Frederiksen KS, Rhodius-Meester HFM, Baroni M, Gjerum L, Koikkalainen J, Urhemaa T, Tolonen A, van Gils M, Rueckert D, Dyremose N, Andersen BB, Lemstra AW, Hallikainen M, Kurl S, Herukka SK, Remes AM, Waldemar G, Soininen H, Mecocci P, van der Flier WM, Lötjönen J, et al.","Alzheimers Res Ther. 2019 Mar 20;11(1):25. doi: 10.1186/s13195-019-0482-3.","Alzheimers Res Ther.  2019","PubMed","citation","PMID:30894218 | PMCID:PMC6425602","pubmed","30894218","create date:2019/03/22 | first author:Bruun M",
"Machine Learning Enhances the Efficiency of Cognitive Screenings for Primary Care.","/pubmed/30879363","Levy B, Hess C, Hogan J, Hogan M, Ellison JM, Greenspan S, Elber A, Falcon K, Driscoll DF, Hashmi AZ.","J Geriatr Psychiatry Neurol. 2019 May;32(3):137-144. doi: 10.1177/0891988719834349. Epub 2019 Mar 17.","J Geriatr Psychiatry Neurol.  2019","PubMed","citation","PMID:30879363","pubmed","30879363","create date:2019/03/19 | first author:Levy B",
"Global Evolution of Research in Artificial Intelligence in Health and Medicine: A Bibliometric Study.","/pubmed/30875745","Tran BX, Vu GT, Ha GH, Vuong QH, Ho MT, Vuong TT, La VP, Ho MT, Nghiem KP, Nguyen HLT, Latkin CA, Tam WWS, Cheung NM, Nguyen HT, Ho CSH, Ho RCM.","J Clin Med. 2019 Mar 14;8(3). pii: E360. doi: 10.3390/jcm8030360.","J Clin Med.  2019","PubMed","citation","PMID:30875745","pubmed","30875745","create date:2019/03/17 | first author:Tran BX",
"A year-long immune profile of the systemic response in acute stroke survivors.","/pubmed/30860258","Tsai AS, Berry K, Beneyto MM, Gaudilliere D, Ganio EA, Culos A, Ghaemi MS, Choisy B, Djebali K, Einhaus JF, Bertrand B, Tanada A, Stanley N, Fallahzadeh R, Baca Q, Quach LN, Osborn E, Drag L, Lansberg MG, Angst MS, Gaudilliere B, Buckwalter MS, et al.","Brain. 2019 Apr 1;142(4):978-991. doi: 10.1093/brain/awz022.","Brain.  2019","PubMed","citation","PMID:30860258","pubmed","30860258","create date:2019/03/13 | first author:Tsai AS",
"Machine learning approaches to studying the role of cognitive reserve in conversion from mild cognitive impairment to dementia.","/pubmed/30854737","Facal D, Valladares-Rodriguez S, Lojo-Seoane C, Pereiro AX, Anido-Rifon L, Juncos-Rabadán O.","Int J Geriatr Psychiatry. 2019 Mar 10. doi: 10.1002/gps.5090. [Epub ahead of print]","Int J Geriatr Psychiatry.  2019","PubMed","citation","PMID:30854737","pubmed","30854737","create date:2019/03/12 | first author:Facal D",
"A blood-based signature of cerebrospinal fluid Aβ(1-42) status.","/pubmed/30853713","Goudey B, Fung BJ, Schieber C, Faux NG; Alzheimer’s Disease Metabolomics Consortium.; Alzheimer’s Disease Neuroimaging Initiative..","Sci Rep. 2019 Mar 11;9(1):4163. doi: 10.1038/s41598-018-37149-7.","Sci Rep.  2019","PubMed","citation","PMID:30853713 | PMCID:PMC6409361","pubmed","30853713","create date:2019/03/12 | first author:Goudey B",
"NMD-12: A new machine-learning derived screening instrument to detect mild cognitive impairment and dementia.","/pubmed/30849106","Chiu PY, Tang H, Wei CY, Zhang C, Hung GU, Zhou W.","PLoS One. 2019 Mar 8;14(3):e0213430. doi: 10.1371/journal.pone.0213430. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:30849106 | PMCID:PMC6407752","pubmed","30849106","create date:2019/03/09 | first author:Chiu PY",
"Detection of mild cognitive impairment in a community-dwelling population using quantitative, multiparametric MRI-based classification.","/pubmed/30803110","Bouts MJRJ, van der Grond J, Vernooij MW, Koini M, Schouten TM, de Vos F, Feis RA, Cremers LGM, Lechner A, Schmidt R, de Rooij M, Niessen WJ, Ikram MA, Rombouts SARB.","Hum Brain Mapp. 2019 Feb 25. doi: 10.1002/hbm.24554. [Epub ahead of print]","Hum Brain Mapp.  2019","PubMed","citation","PMID:30803110","pubmed","30803110","create date:2019/02/26 | first author:Bouts MJRJ",
"Hybrid multivariate pattern analysis combined with extreme learning machine for Alzheimer's dementia diagnosis using multi-measure rs-fMRI spatial patterns.","/pubmed/30794629","Nguyen DT, Ryu S, Qureshi MNI, Choi M, Lee KH, Lee B.","PLoS One. 2019 Feb 22;14(2):e0212582. doi: 10.1371/journal.pone.0212582. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:30794629 | PMCID:PMC6386400","pubmed","30794629","create date:2019/02/23 | first author:Nguyen DT",
"M/EEG-based Bio-markers to predict the Mild Cognitive Impairment and Alzheimer's disease: A Review from the Machine Learning Perspective.","/pubmed/30762522","Yang S, Bornot JMS, Wong-Lin K, Prasad G.","IEEE Trans Biomed Eng. 2019 Feb 12. doi: 10.1109/TBME.2019.2898871. [Epub ahead of print]","IEEE Trans Biomed Eng.  2019","PubMed","citation","PMID:30762522","pubmed","30762522","create date:2019/02/15 | first author:Yang S",
"Prediction of Conversion From Amnestic Mild Cognitive Impairment to Alzheimer's Disease Based on the Brain Structural Connectome.","/pubmed/30687226","Sun Y, Bi Q, Wang X, Hu X, Li H, Li X, Ma T, Lu J, Chan P, Shu N, Han Y.","Front Neurol. 2019 Jan 10;9:1178. doi: 10.3389/fneur.2018.01178. eCollection 2018.","Front Neurol.  2018","PubMed","citation","PMID:30687226 | PMCID:PMC6335339","pubmed","30687226","create date:2019/01/29 | first author:Sun Y",
"Prediction models for dementia and neuropathology in the oldest old: the Vantaa 85+ cohort study.","/pubmed/30670070","Hall A, Pekkala T, Polvikoski T, van Gils M, Kivipelto M, Lötjönen J, Mattila J, Kero M, Myllykangas L, Mäkelä M, Oinas M, Paetau A, Soininen H, Tanskanen M, Solomon A.","Alzheimers Res Ther. 2019 Jan 22;11(1):11. doi: 10.1186/s13195-018-0450-3.","Alzheimers Res Ther.  2019","PubMed","citation","PMID:30670070 | PMCID:PMC6343349","pubmed","30670070","create date:2019/01/24 | first author:Hall A",
"A parameter-efficient deep learning approach to predict conversion from mild cognitive impairment to Alzheimer's disease.","/pubmed/30654174","Spasov S, Passamonti L, Duggento A, Liò P, Toschi N; Alzheimer's Disease Neuroimaging Initiative..","Neuroimage. 2019 Apr 1;189:276-287. doi: 10.1016/j.neuroimage.2019.01.031. Epub 2019 Jan 14.","Neuroimage.  2019","PubMed","citation","PMID:30654174","pubmed","30654174","create date:2019/01/18 | first author:Spasov S",
"Machine learning methods for detecting urinary tract infection and analysing daily living activities in people with dementia.","/pubmed/30645599","Enshaeifar S, Zoha A, Skillman S, Markides A, Acton ST, Elsaleh T, Kenny M, Rostill H, Nilforooshan R, Barnaghi P.","PLoS One. 2019 Jan 15;14(1):e0209909. doi: 10.1371/journal.pone.0209909. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:30645599 | PMCID:PMC6333356","pubmed","30645599","create date:2019/01/16 | first author:Enshaeifar S",
"Computer-assisted prediction of clinical progression in the earliest stages of AD.","/pubmed/30619929","Rhodius-Meester HFM, Liedes H, Koikkalainen J, Wolfsgruber S, Coll-Padros N, Kornhuber J, Peters O, Jessen F, Kleineidam L, Molinuevo JL, Rami L, Teunissen CE, Barkhof F, Sikkes SAM, Wesselman LMP, Slot RER, Verfaillie SCJ, Scheltens P, Tijms BM, Lötjönen J, van der Flier WM.","Alzheimers Dement (Amst). 2018 Oct 8;10:726-736. doi: 10.1016/j.dadm.2018.09.001. eCollection 2018.","Alzheimers Dement (Amst).  2018","PubMed","citation","PMID:30619929 | PMCID:PMC6310913","pubmed","30619929","create date:2019/01/09 | first author:Rhodius-Meester HFM",
