PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
S	Young, Jonathan; Modat, Marc; Cardoso, Manuel J.; Ashburner, John; Ourselin, Sebastien				Cardoso, M. Jorge/N-5511-2018	Cardoso, M. Jorge/0000-0003-1284-2558	Rish, I; Langs, G; Wehbe, L; Cecchi, G; Chang, KMK; Murphy, B		An Oblique Approach to Prediction of Conversion to Alzheimer's Disease with Multikernel Gaussian Processes								MACHINE LEARNING AND INTERPRETATION IN NEUROIMAGING, MLINI 2014		Lecture Notes in Artificial Intelligence		9444				122	128		10.1007/978-3-319-45174-9_13					2016	2016						4th International Workshop on Machine Learning and Interpretation in Neuroimaging (MLINI) Held at Conference on Neural Information Processing Systems (NIPS)4th International Workshop on Machine Learning and Interpretation in Neuroimaging (MLINI) Held at Conference on Neural Information Processing Systems (NIPS)	DEC 13, 2014DEC 13, 2014		Montreal, CANADAMontreal, CANADA	0	0	0	0	0	0			0302-9743		978-3-319-45173-2; 978-3-319-45174-9	WOS:000388723400013		
S	Ireland, David; Atay, Christina; Liddle, Jacki; Bradford, Dana; Lee, Helen; Rushin, Olivia; Mullins, Thomas; Angus, Dan; Wiles, Janet; McBride, Simon; Vogel, Adam				Ireland, David/O-2081-2018; Bradford, DanaKai/B-7561-2017; Vogel, Adam/A-2004-2014; Liddle, Jacki/F-6872-2010	Bradford, DanaKai/0000-0002-2939-3018; Angus, Daniel/0000-0002-1412-5096; Vogel, Adam/0000-0002-3505-2631; Liddle, Jacki/0000-0002-6336-9898	Georgiou, A; Schaper, LK; Whetton, S		Hello Harlie: Enabling Speech Monitoring Through Chat-Bot Conversations								DIGITAL HEALTH INNOVATION FOR CONSUMERS, CLINICIANS, CONNECTIVITY AND COMMUNITY		Studies in Health Technology and Informatics		227				55	60		10.3233/978-1-61499-666-8-55					2016	2016						24th Australian National Health Informatics Conference (HIC)24th Australian National Health Informatics Conference (HIC)	20162016	Hlth Informat Soc AustraliaHlth Informat Soc Australia	Melbourne, AUSTRALIAMelbourne, AUSTRALIA	2	0	0	0	0	2			0926-9630		978-1-61499-666-8; 978-1-61499-665-1	WOS:000383619200009	27440289	
S	Keerthana, I. P.; Abahai, Aby T.						Ibrahim, SA; Mohammad, S; Khader, SA		DSPAA: A Data Sharing Platform with Automated Annotation								INTERNATIONAL CONFERENCE ON COMPUTATIONAL MODELLING AND SECURITY (CMS 2016)		Procedia Computer Science		85				45	53		10.1016/j.procs.2016.05.175					2016	2016						International Conference on Computational Modelling and Security (CMS)International Conference on Computational Modelling and Security (CMS)	FEB 11-13, 2016FEB 11-13, 2016	ARPVGSI, R L Jalappa Inst Technol; Elsevier Procedia Comp SciARPVGSI, R L Jalappa Inst Technol; Elsevier Procedia Comp Sci	Bengaluru, INDIABengaluru, INDIA	0	0	0	0	0	0			1877-0509		*****************	WOS:000386651300006		
S	Madsen, Sarah K.; Steeg, Greg Ver; Daianu, Madelaine; Mezher, Adam; Jahanshad, Neda; Nir, Talia M.; Hua, Xue; Gutman, Boris A.; Galstyan, Aram; Thompson, Paul M.				Thompson, Paul/C-4194-2018	Thompson, Paul/0000-0002-4720-8867	Styner, MA; Angelini, ED		Relative Value of Diverse Brain MRI and Blood-Based Biomarkers for Predicting Cognitive Decline in the Elderly								MEDICAL IMAGING 2016: IMAGE PROCESSING		Proceedings of SPIE		9784						978411	10.1117/12.2216964					2016	2016						Conference on Medical Imaging - Image ProcessingConference on Medical Imaging - Image Processing	MAR 01-03, 2016MAR 01-03, 2016	SPIE; Modus Med Devices Inc; Bruker; Poco Graphite; imXPADSPIE; Modus Med Devices Inc; Bruker; Poco Graphite; imXPAD	San Diego, CASan Diego, CA	1	0	0	1	0	1			0277-786X	1996-756X	978-1-5106-0019-5	WOS:000382313300035		
B	Ghazizadeh, Elham; Nikpour, Bahareh; Moghadam, Dariush Abbasi; Nezaniabadi-pour, Hossein			IEEE					A PSO-based Weighting Method to Enhance Machine Learning Techniques for Cooperative Spectrum Sensing in CR Networks								2016 1ST CONFERENCE ON SWARM INTELLIGENCE AND EVOLUTIONARY COMPUTATION (CSIEC 2016)								113	118							2016	2016						1st Conference on Swarm Intelligence and Evolutionary Computation (CSIEC)1st Conference on Swarm Intelligence and Evolutionary Computation (CSIEC)	MAR 09-11, 2016MAR 09-11, 2016		Bam, IRANBam, IRAN	2	0	0	0	0	2					978-1-4673-8737-8	WOS:000387088700021		
B	Jain, Shreya; Shetty, Sujala			IEEE					Improving Accuracy in Noninvasive Telemonitoring of Progression of Parkinson's Disease using Two-Step Predictive Model								2016 THIRD INTERNATIONAL CONFERENCE ON ELECTRICAL, ELECTRONICS, COMPUTER ENGINEERING AND THEIR APPLICATIONS (EECEA)								104	109							2016	2016						3rd International Conference on Electrical, Electronics, Computer Engineering and their Applications (EECEA)3rd International Conference on Electrical, Electronics, Computer Engineering and their Applications (EECEA)	APR 21-23, 2016APR 21-23, 2016		Beirut, LEBANONBeirut, LEBANON	4	0	0	0	0	4					978-1-4673-6942-8	WOS:000387051700019		
S	Aluisio, Sandra; Cunha, Andre; Scarton, Carolina				Inst Cien Matematicas Computacao, ICMC/USP/D-8320-2017		Silva, J; Ribeiro, R; Quaresma, P; Adami, A; Branco, A		Evaluating Progression of Alzheimer's Disease by Regression and Classification Methods in a Narrative Language Test in Portuguese								COMPUTATIONAL PROCESSING OF THE PORTUGUESE LANGUAGE (PROPOR 2016)		Lecture Notes in Artificial Intelligence		9727				109	114		10.1007/978-3-319-41552-9_10					2016	2016						12th International Conference on the Computational Processing of Portuguese (PROPOR)12th International Conference on the Computational Processing of Portuguese (PROPOR)	JUL 13-15, 2016JUL 13-15, 2016	Nat Language & Speech Grp, Fac Sci, Dept InformatNat Language & Speech Grp, Fac Sci, Dept Informat	Univ Lisbon, Tomar, PORTUGALUniv Lisbon, Tomar, PORTUGAL	1	0	0	1	0	1			0302-9743		978-3-319-41552-9; 978-3-319-41551-2	WOS:000386271100010		
J	Segovia, F.; Gorriz, J. M.; Ramirez, J.; Phillips, C.		Alzheimer's Disease Neuroimaging I		Segovia Roman, Fermin/M-3306-2014; Ramirez, Javier/B-1836-2012; Gorriz, Juan M./C-2385-2012	Segovia Roman, Fermin/0000-0003-1940-8834; Ramirez, Javier/0000-0002-6229-2921; Gorriz, Juan M./0000-0001-7069-1714			Combining Feature Extraction Methods to Assist the Diagnosis of Alzheimer's Disease								CURRENT ALZHEIMER RESEARCH				13	7			831	837		10.2174/1567205013666151116141906					2016	2016										2	0	0	0	0	2			1567-2050	1875-5828		WOS:000376693300011	26567734	
J	Gomez-Rio, Manuel; Moreno Caballero, Manuel; Gorriz Saez, Juan Manuel; Minguez-Castellanos, Adolfo					Minguez-Castellanos, Adolfo/0000-0001-7086-1867			Diagnosis of Neurodegenerative Diseases: The Clinical Approach								CURRENT ALZHEIMER RESEARCH				13	5			469	474		10.2174/1567205013666151116141603					2016	2016										4	0	0	4	0	4			1567-2050	1875-5828		WOS:000373458700002	26567736	
J	Vigneron, V.; Kodewitz, A.; Tome, A. M.; Lelandais, S.; Lang, E.					Tome, Ana Maria/0000-0002-1210-0266			Alzheimer's Disease Brain Areas: The Machine Learning Support for Blind Localization								CURRENT ALZHEIMER RESEARCH				13	5			498	508		10.2174/1567205013666160314144822					2016	2016										2	0	0	2	0	2			1567-2050	1875-5828		WOS:000373458700005	26971943	
